sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786528850648594500,2026/08/12 20:00:50.703,0.0,0.0,20451.0,32607.0,30.73,495.0,810.0
1786528851224847400,2026/08/12 20:00:51.256,96.0,68.0,20451.0,32607.0,48.39,2347.0,13801.0
1786528851765267300,2026/08/12 20:00:51.797,78.0,18.0,20451.0,32607.0,171.6,2865.0,13801.0
1786528852318449900,2026/08/12 20:00:52.349,75.0,18.0,20451.0,32607.0,280.32,2857.0,13801.0
1786528852870121200,2026/08/12 20:00:52.917,83.0,16.0,20451.0,32607.0,310.95,2857.0,13801.0
1786528853424908100,2026/08/12 20:00:53.456,88.0,21.0,20451.0,32607.0,316.91,2872.0,13801.0
1786528853967059900,2026/08/12 20:00:53.999,86.0,17.0,20451.0,32607.0,314.96,2827.0,13801.0
1786528854507252000,2026/08/12 20:00:54.538,80.0,13.0,20451.0,32607.0,319.51,2812.0,13801.0
1786528855046753000,2026/08/12 20:00:55.077,88.0,21.0,20451.0,32607.0,320.23,2872.0,13801.0
1786528855584951400,2026/08/12 20:00:55.616,89.0,21.0,20451.0,32607.0,320.22,2872.0,13801.0
1786528856125078000,2026/08/12 20:00:56.157,82.0,16.0,20451.0,32607.0,323.2,2827.0,13801.0
1786528856677995900,2026/08/12 20:00:56.710,85.0,17.0,20451.0,32607.0,333.31,2820.0,13801.0
1786528857232050500,2026/08/12 20:00:57.263,80.0,10.0,20451.0,32607.0,336.93,2790.0,13801.0
1786528857772811800,2026/08/12 20:00:57.804,86.0,21.0,20451.0,32607.0,326.71,2872.0,13801.0
1786528858313562300,2026/08/12 20:00:58.345,87.0,21.0,20451.0,32607.0,320.94,2872.0,13801.0
1786528858866739100,2026/08/12 20:00:58.898,87.0,21.0,20451.0,32607.0,320.93,2872.0,13801.0
1786528859406028000,2026/08/12 20:00:59.437,85.0,15.0,20451.0,32607.0,330.21,2820.0,13801.0
1786528859961364400,2026/08/12 20:00:59.993,86.0,15.0,20451.0,32607.0,341.42,2805.0,13801.0
1786528860500467900,2026/08/12 20:01:00.531,56.0,5.0,20451.0,32607.0,335.08,2790.0,13801.0
1786528861040477600,2026/08/12 20:01:01.072,70.0,8.0,20451.0,32607.0,324.33,2790.0,13801.0
1786528861579926500,2026/08/12 20:01:01.611,89.0,21.0,20451.0,32607.0,317.64,2865.0,13801.0
1786528862119643400,2026/08/12 20:01:02.151,88.0,21.0,20451.0,32607.0,320.33,2865.0,13801.0
1786528862658477500,2026/08/12 20:01:02.690,89.0,21.0,20451.0,32607.0,323.23,2865.0,13801.0
1786528863199240700,2026/08/12 20:01:03.230,88.0,21.0,20451.0,32607.0,323.45,2865.0,13801.0
