sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786527600133085700,2026/08/12 19:40:00.167,0.0,0.0,20449.0,32607.0,31.02,465.0,7001.0
1786527600688967200,2026/08/12 19:40:00.735,88.0,20.0,20449.0,32607.0,99.96,2400.0,13801.0
1786527601245281800,2026/08/12 19:40:01.277,88.0,20.0,20449.0,32607.0,243.48,2857.0,13801.0
1786527601786518300,2026/08/12 19:40:01.817,83.0,15.0,20449.0,32607.0,307.73,2850.0,13801.0
1786527602324785200,2026/08/12 19:40:02.355,88.0,20.0,20449.0,32607.0,311.91,2872.0,13801.0
1786527602873717900,2026/08/12 19:40:02.905,74.0,13.0,20449.0,32607.0,313.82,2827.0,13801.0
1786527603414399400,2026/08/12 19:40:03.446,88.0,20.0,20449.0,32607.0,315.63,2865.0,13801.0
1786527603955086600,2026/08/12 19:40:03.987,76.0,15.0,20449.0,32607.0,315.83,2872.0,13801.0
1786527604508203700,2026/08/12 19:40:04.539,72.0,11.0,20449.0,32607.0,325.34,2820.0,13801.0
1786527605047508200,2026/08/12 19:40:05.079,88.0,21.0,20449.0,32607.0,322.77,2872.0,13801.0
1786527605588446500,2026/08/12 19:40:05.619,79.0,17.0,20449.0,32607.0,319.88,2872.0,13801.0
1786527606127144400,2026/08/12 19:40:06.159,86.0,16.0,20449.0,32607.0,329.37,2827.0,13801.0
1786527606665762100,2026/08/12 19:40:06.697,79.0,7.0,20449.0,32607.0,337.95,2812.0,13801.0
1786527607205523600,2026/08/12 19:40:07.236,88.0,20.0,20449.0,32607.0,332.18,2827.0,13801.0
1786527607745021700,2026/08/12 19:40:07.777,88.0,20.0,20449.0,32607.0,325.05,2872.0,13801.0
1786527608297588000,2026/08/12 19:40:08.329,88.0,20.0,20449.0,32607.0,322.05,2872.0,13801.0
1786527608835919700,2026/08/12 19:40:08.867,87.0,16.0,20449.0,32607.0,324.02,2857.0,13801.0
1786527609374043800,2026/08/12 19:40:09.427,84.0,14.0,20457.0,32607.0,336.13,2820.0,13801.0
1786527609945327200,2026/08/12 19:40:09.976,79.0,6.0,20457.0,32607.0,344.15,2812.0,13801.0
1786527634076046100,2026/08/12 19:40:34.115,0.0,0.0,20409.0,32607.0,31.38,442.0,7001.0
1786527634624587800,2026/08/12 19:40:34.655,82.0,20.0,20411.0,32607.0,119.33,2302.0,13801.0
1786527635177989400,2026/08/12 19:40:35.209,85.0,19.0,20411.0,32607.0,247.79,2872.0,13801.0
1786527635717236100,2026/08/12 19:40:35.748,87.0,22.0,20411.0,32607.0,290.32,2865.0,13801.0
1786527636257514300,2026/08/12 19:40:36.289,83.0,17.0,20411.0,32607.0,295.96,2865.0,13801.0
1786527636809710000,2026/08/12 19:40:36.841,85.0,22.0,20411.0,32607.0,297.29,2865.0,13801.0
1786527637349422700,2026/08/12 19:40:37.380,84.0,20.0,20411.0,32607.0,292.52,2872.0,13801.0
1786527637891252000,2026/08/12 19:40:37.923,78.0,12.0,20411.0,32607.0,309.65,2857.0,13801.0
1786527638430494900,2026/08/12 19:40:38.462,87.0,22.0,20411.0,32607.0,314.68,2865.0,13801.0
1786527638969190900,2026/08/12 19:40:39.017,85.0,21.0,20411.0,32607.0,298.75,2872.0,13801.0
1786527639523994100,2026/08/12 19:40:39.555,82.0,16.0,20411.0,32607.0,298.75,2865.0,13801.0
1786527640063038700,2026/08/12 19:40:40.095,77.0,7.0,20411.0,32607.0,320.44,2842.0,13801.0
1786527640617670900,2026/08/12 19:40:40.649,86.0,22.0,20411.0,32607.0,303.66,2872.0,13801.0
1786527641156854500,2026/08/12 19:40:41.188,86.0,21.0,20411.0,32607.0,289.94,2872.0,13801.0
1786527641696195000,2026/08/12 19:40:41.727,86.0,17.0,20411.0,32607.0,294.59,2872.0,13801.0
1786527642251142800,2026/08/12 19:40:42.283,87.0,17.0,20411.0,32607.0,313.6,2857.0,13801.0
1786527642791621100,2026/08/12 19:40:42.823,33.0,3.0,20411.0,32607.0,317.62,2857.0,13801.0
