sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786539579427097700,2026/08/12 22:59:39.462,0.0,0.0,19359.0,32607.0,25.41,405.0,810.0
1786539579970942400,2026/08/12 22:59:40.002,84.0,37.0,19359.0,32607.0,35.06,367.0,810.0
1786539580510810500,2026/08/12 22:59:40.542,88.0,11.0,19359.0,32607.0,149.46,2857.0,13801.0
1786539581063679100,2026/08/12 22:59:41.095,82.0,10.0,19359.0,32607.0,273.45,2842.0,13801.0
1786539581603505300,2026/08/12 22:59:41.635,83.0,8.0,19359.0,32607.0,323.22,2835.0,13801.0
1786539582141972500,2026/08/12 22:59:42.173,88.0,11.0,19365.0,32607.0,324.62,2865.0,13801.0
1786539582681885500,2026/08/12 22:59:42.713,84.0,9.0,19365.0,32607.0,326.9,2850.0,13801.0
1786539583222833500,2026/08/12 22:59:43.254,81.0,7.0,19365.0,32607.0,331.0,2790.0,13801.0
1786539583777776900,2026/08/12 22:59:43.808,88.0,11.0,19365.0,32607.0,330.91,2820.0,13801.0
1786539584315197300,2026/08/12 22:59:44.347,88.0,11.0,19365.0,32607.0,329.65,2865.0,13801.0
1786539584856637300,2026/08/12 22:59:44.888,76.0,8.0,19365.0,32607.0,332.08,2857.0,13801.0
1786539585410645900,2026/08/12 22:59:45.442,85.0,9.0,19365.0,32607.0,341.97,2782.0,13801.0
1786539585949827900,2026/08/12 22:59:45.981,79.0,5.0,19365.0,32607.0,348.19,2767.0,13801.0
1786539586490745600,2026/08/12 22:59:46.547,88.0,11.0,19359.0,32607.0,340.07,2827.0,13801.0
1786539587078709700,2026/08/12 22:59:47.110,88.0,11.0,19365.0,32607.0,331.94,2865.0,13801.0
1786539587630990400,2026/08/12 22:59:47.662,88.0,11.0,19365.0,32607.0,332.39,2865.0,13801.0
1786539588170551900,2026/08/12 22:59:48.202,85.0,8.0,19365.0,32607.0,338.52,2782.0,13801.0
1786539588710409700,2026/08/12 22:59:48.742,85.0,8.0,19365.0,32607.0,347.17,2782.0,13801.0
1786539589250394000,2026/08/12 22:59:49.282,80.0,4.0,19365.0,32607.0,348.22,2775.0,13801.0
1786539589791228900,2026/08/12 22:59:49.823,79.0,4.0,19366.0,32607.0,336.81,2760.0,13801.0
1786539590344197000,2026/08/12 22:59:50.376,89.0,11.0,19366.0,32607.0,331.31,2835.0,13801.0
1786539590885644600,2026/08/12 22:59:50.917,88.0,11.0,19366.0,32607.0,332.77,2835.0,13801.0
1786539591424613900,2026/08/12 22:59:51.456,89.0,11.0,19366.0,32607.0,333.14,2835.0,13801.0
1786539591963419900,2026/08/12 22:59:51.994,88.0,11.0,19366.0,32607.0,333.57,2835.0,13801.0
1786539592516426800,2026/08/12 22:59:52.548,80.0,9.0,19367.0,32607.0,331.01,2835.0,13801.0
1786539593057327400,2026/08/12 22:59:53.088,84.0,9.0,19367.0,32607.0,342.69,2790.0,13801.0
1786539593596351800,2026/08/12 22:59:53.627,83.0,8.0,19367.0,32607.0,356.92,2782.0,13801.0
1786539594136136100,2026/08/12 22:59:54.168,80.0,3.0,19367.0,32607.0,353.91,2752.0,13801.0
