sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786539635590462200,2026/08/12 23:00:35.629,0.0,0.0,19359.0,32607.0,30.64,487.0,7001.0
1786539636150682200,2026/08/12 23:00:36.182,19.0,4.0,19359.0,32607.0,33.81,1177.0,7001.0
1786539636704045400,2026/08/12 23:00:36.736,75.0,9.0,19359.0,32607.0,288.24,2865.0,13801.0
1786539637257984500,2026/08/12 23:00:37.289,86.0,8.0,19359.0,32607.0,313.14,2857.0,13801.0
1786539637811869300,2026/08/12 23:00:37.843,84.0,8.0,19359.0,32607.0,317.02,2835.0,13801.0
1786539638364749500,2026/08/12 23:00:38.396,88.0,10.0,19365.0,32607.0,316.71,2872.0,13801.0
1786539638918731600,2026/08/12 23:00:38.950,84.0,8.0,19365.0,32607.0,315.74,2827.0,13801.0
1786539639472600200,2026/08/12 23:00:39.504,79.0,6.0,19365.0,32607.0,321.15,2805.0,13801.0
1786539640024682300,2026/08/12 23:00:40.056,88.0,10.0,19365.0,32607.0,320.6,2865.0,13801.0
1786539640565025400,2026/08/12 23:00:40.597,88.0,10.0,19365.0,32607.0,318.96,2865.0,13801.0
1786539641105838700,2026/08/12 23:00:41.137,83.0,8.0,19365.0,32607.0,322.19,2820.0,13801.0
1786539641661296600,2026/08/12 23:00:41.693,86.0,9.0,19365.0,32607.0,332.69,2797.0,13801.0
1786539642216883700,2026/08/12 23:00:42.247,88.0,10.0,19365.0,32607.0,328.5,2865.0,13801.0
1786539642768331600,2026/08/12 23:00:42.800,89.0,10.0,19359.0,32607.0,322.98,2842.0,13801.0
1786539643307141900,2026/08/12 23:00:43.337,89.0,10.0,19365.0,32607.0,321.21,2835.0,13801.0
1786539643845841200,2026/08/12 23:00:43.877,79.0,8.0,19367.0,32607.0,318.37,2850.0,13801.0
1786539644384872900,2026/08/12 23:00:44.416,85.0,8.0,19367.0,32607.0,328.05,2805.0,13801.0
1786539644938466400,2026/08/12 23:00:44.968,86.0,8.0,19367.0,32607.0,340.5,2805.0,13801.0
1786539645489080100,2026/08/12 23:00:45.520,77.0,4.0,19367.0,32607.0,338.13,2782.0,13801.0
1786539646041692700,2026/08/12 23:00:46.073,78.0,4.0,19367.0,32607.0,327.88,2805.0,13801.0
1786539646579532100,2026/08/12 23:00:46.611,88.0,10.0,19367.0,32607.0,317.71,2850.0,13801.0
1786539647120095300,2026/08/12 23:00:47.152,88.0,10.0,19367.0,32607.0,319.76,2835.0,13801.0
1786539647660254200,2026/08/12 23:00:47.691,88.0,10.0,19362.0,32607.0,321.18,2835.0,13801.0
1786539648198138800,2026/08/12 23:00:48.230,87.0,7.0,19362.0,32607.0,321.65,2835.0,13801.0
1786539648736658300,2026/08/12 23:00:48.768,84.0,8.0,19362.0,32607.0,335.29,2812.0,13801.0
1786539649276395100,2026/08/12 23:00:49.308,88.0,8.0,19362.0,32607.0,347.68,2805.0,13801.0
1786539649816802600,2026/08/12 23:00:49.848,84.0,8.0,19367.0,32607.0,347.53,2812.0,13801.0
1786539650358524900,2026/08/12 23:00:50.390,80.0,3.0,19367.0,32607.0,344.26,2782.0,13801.0
