organization,block_size,verification_rows,eager_wall_p50_ms,eager_device_p50_ms,cuda_graph_replay_ms,cuda_graph_status,full_real_kda_layer_device_ms,attention_pre_moe_device_ms,kda_recurrence_kernel_count,logical_state_read_bytes,logical_state_write_bytes,allocated_scratch_bytes,peak_vram_bytes,relative_l2_error,route_exact,state_exact,whole_oracle_tok_s_per_user
split-projection-head-recurrence,1,2,5.644299999999999,5.318063974380493,,UNSUPPORTED_BY_NATIVE_ABI,5.318063974380493,1.1030399799346924,2,12582912,12582912,0,18285068288,0.0,True,True,1.4950272876916082
fused-short-window-head-recurrence,1,2,5.64285,5.33241605758667,,UNSUPPORTED_BY_NATIVE_ABI,5.33241605758667,1.130560040473938,1,12582912,12582912,0,18285068288,0.0,True,True,1.4929802706209587
split-projection-head-recurrence,2,3,7.7705,7.341024160385132,,UNSUPPORTED_BY_NATIVE_ABI,7.341024160385132,1.9187519550323486,3,25165824,25165824,0,18285068288,0.0,True,True,1.7317701763396423
fused-short-window-head-recurrence,2,3,7.8717,7.373135805130005,,UNSUPPORTED_BY_NATIVE_ABI,7.373135805130005,1.884384036064148,1,25165824,25165824,0,18285068288,0.0,True,True,1.7276773104922243
split-projection-head-recurrence,4,5,9.8597,9.13599967956543,,UNSUPPORTED_BY_NATIVE_ABI,9.13599967956543,2.2905280590057373,5,50331648,50331648,0,18285068288,0.0,True,True,2.250819011675643
fused-short-window-head-recurrence,4,5,9.92575,9.147232055664062,,UNSUPPORTED_BY_NATIVE_ABI,9.147232055664062,2.296639919281006,1,50331648,50331648,0,18285068288,0.0,True,True,2.24936544300393
split-projection-head-recurrence,7,8,13.28585,12.201568126678467,,UNSUPPORTED_BY_NATIVE_ABI,12.201568126678467,3.1049280166625977,8,88080384,88080384,0,18285068288,0.0,True,True,2.6691235692169797
fused-short-window-head-recurrence,7,8,13.290849999999999,12.211135864257812,,UNSUPPORTED_BY_NATIVE_ABI,12.211135864257812,3.10646390914917,1,88080384,88080384,0,18285068288,0.0,True,True,2.668035108357215
split-projection-head-recurrence,12,13,18.3673,16.724624633789062,,UNSUPPORTED_BY_NATIVE_ABI,16.724624633789062,5.26032018661499,13,150994944,150994944,0,18285068288,0.0,True,True,3.028915331658712
fused-short-window-head-recurrence,12,13,18.43215,16.72478485107422,,UNSUPPORTED_BY_NATIVE_ABI,16.72478485107422,5.225376129150391,1,150994944,150994944,0,18285068288,0.0,True,True,3.028900881535856
split-projection-head-recurrence,16,17,23.71815,21.674015998840332,,UNSUPPORTED_BY_NATIVE_ABI,21.674015998840332,6.907936096191406,17,201326592,201326592,0,18285068288,0.0,True,True,3.099405677205971
fused-short-window-head-recurrence,16,17,23.69625,21.6909122467041,,UNSUPPORTED_BY_NATIVE_ABI,21.6909122467041,6.869887828826904,1,201326592,201326592,0,18285068288,0.0,True,True,3.0981859559735097
