configuration,exactness,retained,block_size,accepted_tokens,target_pass_ms,ms_per_accepted_token,oracle_tok_s_per_user,speedup_vs_exp016,kda_contribution_ms,non_kda_contribution_ms
E016 exact control,EXACT,True,1,2,1337.7682243433117,668.8841121716558,1.4950272876916082,0.5601241196251951,679.6524482799563,658.1157760633554
Arm A fused KDA window,EXACT,False,1,2,1339.6024310275461,669.8012155137731,1.4929802706209587,0.5593571880487651,681.4866549641908,658.1157760633553
E016 exact control,EXACT,True,2,3,1732.3314842740583,577.4438280913528,1.7317701763396423,0.6488217662656485,938.1882330720324,794.1432512020259
Arm A fused KDA window,EXACT,False,2,3,1736.4353758545826,578.8117919515275,1.7276773104922243,0.6472883408235827,942.2921246525566,794.143251202026
E016 exact control,EXACT,True,4,5,2221.4136161386446,444.2827232277289,2.250819011675643,0.8432876294165236,1167.587411436672,1053.8262047019725
Arm A fused KDA window,EXACT,False,4,5,2222.8491219829166,444.56982439658333,2.24936544300393,0.8427430381042037,1169.0229172809443,1053.8262047019723
E016 exact control,EXACT,True,7,8,2997.238528880436,374.6548161100545,2.6691235692169797,1.0000088303986288,1559.369291174753,1437.8692377056832
Arm A fused KDA window,EXACT,False,7,8,2998.461292709835,374.8076615887294,2.668035108357215,0.9996010296943596,1560.592055004152,1437.8692377056832
E016 exact control,EXACT,True,12,13,4291.965465036907,330.1511896182236,3.028915331658712,1.1348077373117202,2137.419206252055,2154.5462587848515
Arm A fused KDA window,EXACT,False,12,13,4291.985940922612,330.1527646863548,3.028900881535856,1.1348023234557927,2137.4396821377604,2154.5462587848515
E016 exact control,EXACT,True,16,17,5484.922520799224,322.64250122348375,3.099405677205971,1.1612175179670943,2769.9550266103706,2714.9674941888534
Arm A fused KDA window,EXACT,False,16,17,5487.081873579235,322.7695219752491,3.0981859559735097,1.1607605394977745,2772.114379390382,2714.9674941888534
