split_degree,batch_rows,intermediate_width_per_shard,sequential_one_gpu_wall_p50_ms,sequential_one_gpu_device_p50_ms,slowest_physical_shard_wall_p50_ms,stable_reduction_wall_p50_ms,route_weighted_reduction_wall_p50_ms,evidence_class
1,1,3072,0.178,0.14315199851989746,0.17145,0.0023499999999999997,0.003,PHYSICAL sequential RTX 5090
1,2,3072,0.17875,0.14419199526309967,0.1717,0.00275,0.0037,PHYSICAL sequential RTX 5090
1,4,3072,0.18430000000000002,0.15203199535608292,0.17495,0.0036,0.005,PHYSICAL sequential RTX 5090
1,8,3072,0.2294,0.19940800219774246,0.21545,0.0052,0.0076,PHYSICAL sequential RTX 5090
2,1,1536,0.29985,0.2563199959695339,0.1516,0.0031,0.0042,PHYSICAL sequential RTX 5090
2,2,1536,0.2944,0.2519199997186661,0.14615,0.0037,0.0057,PHYSICAL sequential RTX 5090
2,4,1536,0.31125,0.2744640000164509,0.1592,0.0048,0.008150000000000001,PHYSICAL sequential RTX 5090
2,8,1536,0.39075000000000004,0.3452640026807785,0.19685,0.0081,0.0137,PHYSICAL sequential RTX 5090
4,1,768,0.5076,0.4535359963774681,0.12705,0.0041,0.00715,PHYSICAL sequential RTX 5090
4,2,768,0.47785,0.42948800325393677,0.1153,0.0055,0.0095,PHYSICAL sequential RTX 5090
4,4,768,0.7246,0.6247199922800064,0.16525,0.016849999999999997,0.02225,PHYSICAL sequential RTX 5090
4,8,768,0.7233,0.6067679971456528,0.1784,0.01395,0.0246,PHYSICAL sequential RTX 5090
8,1,384,0.95055,0.8712639920413494,0.12365000000000001,0.0062,0.0119,PHYSICAL sequential RTX 5090
8,2,384,1.0758,0.9780800081789494,0.13655,0.01,0.01865,PHYSICAL sequential RTX 5090
8,4,384,1.21995,1.1127840019762516,0.15084999999999998,0.014100000000000001,0.0272,PHYSICAL sequential RTX 5090
8,8,384,1.4343,1.2206239998340607,0.17099999999999999,0.02495,0.0489,PHYSICAL sequential RTX 5090
16,1,192,1.97595,1.825103998184204,0.1228,0.011349999999999999,0.0222,PHYSICAL sequential RTX 5090
16,2,192,1.9245999999999999,1.758591990917921,0.12225,0.0163,0.03405,PHYSICAL sequential RTX 5090
16,4,192,2.13935,1.9448319971561432,0.1281,0.0258,0.0548,PHYSICAL sequential RTX 5090
16,8,192,2.6403499999999998,2.3721120096743107,0.15639999999999998,0.04505,0.11069999999999999,PHYSICAL sequential RTX 5090
32,1,96,3.93755,3.656512003391981,0.1237,0.0191,0.04475,PHYSICAL sequential RTX 5090
32,2,96,4.43825,4.102479998022318,0.1409,0.03225,0.06645000000000001,PHYSICAL sequential RTX 5090
32,4,96,4.946350000000001,4.5040159821510315,0.1497,0.0471,0.1314,PHYSICAL sequential RTX 5090
32,8,96,6.7959,5.032303970307112,0.2014,0.16315000000000002,1.2227000000000001,PHYSICAL sequential RTX 5090
