sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786574074435220400,2026/08/13 08:34:34.473,0.0,0.0,19747.0,32607.0,25.3,427.0,405.0
1786574074982222900,2026/08/13 08:34:35.014,87.0,18.0,19747.0,32607.0,108.03,2857.0,13801.0
1786574075536552300,2026/08/13 08:34:35.567,68.0,14.0,19747.0,32607.0,253.95,2842.0,13801.0
1786574076075603800,2026/08/13 08:34:36.107,89.0,18.0,19747.0,32607.0,320.8,2865.0,13801.0
1786574076617525700,2026/08/13 08:34:36.649,75.0,12.0,19747.0,32607.0,324.29,2835.0,13801.0
1786574077172289700,2026/08/13 08:34:37.204,88.0,18.0,19752.0,32607.0,325.04,2827.0,13801.0
1786574077725575100,2026/08/13 08:34:37.757,79.0,16.0,19761.0,32607.0,324.31,2865.0,13801.0
1786574078266354700,2026/08/13 08:34:38.298,83.0,15.0,19761.0,32607.0,331.94,2805.0,13801.0
1786574078808792200,2026/08/13 08:34:38.840,73.0,14.0,19761.0,32607.0,330.23,2797.0,13801.0
1786574079349825300,2026/08/13 08:34:39.381,88.0,18.0,19761.0,32607.0,328.15,2865.0,13801.0
1786574079902448800,2026/08/13 08:34:39.934,85.0,15.0,19761.0,32607.0,336.48,2797.0,13801.0
1786574080456638600,2026/08/13 08:34:40.488,80.0,9.0,19761.0,32607.0,343.33,2782.0,13801.0
1786574080996818700,2026/08/13 08:34:41.027,89.0,19.0,19761.0,32607.0,342.38,2760.0,13801.0
1786574081535132200,2026/08/13 08:34:41.566,89.0,19.0,19757.0,32607.0,336.89,2835.0,13801.0
1786574082088102700,2026/08/13 08:34:42.119,87.0,18.0,19757.0,32607.0,332.46,2835.0,13801.0
1786574082626091400,2026/08/13 08:34:42.657,89.0,19.0,19765.0,32607.0,330.61,2835.0,13801.0
1786574083179792100,2026/08/13 08:34:43.210,85.0,13.0,19765.0,32607.0,333.62,2797.0,13801.0
1786574083718427000,2026/08/13 08:34:43.750,84.0,14.0,19765.0,32607.0,344.28,2782.0,13801.0
1786574084257603300,2026/08/13 08:34:44.288,74.0,11.0,19765.0,32607.0,346.92,2782.0,13801.0
1786574084795494300,2026/08/13 08:34:44.827,76.0,6.0,19765.0,32607.0,336.46,2775.0,13801.0
1786574085338585800,2026/08/13 08:34:45.370,88.0,18.0,19765.0,32607.0,330.14,2805.0,13801.0
1786574085879811100,2026/08/13 08:34:45.911,88.0,18.0,19765.0,32607.0,336.99,2820.0,13801.0
1786574086431891000,2026/08/13 08:34:46.463,89.0,18.0,19760.0,32607.0,331.94,2820.0,13801.0
1786574086973454900,2026/08/13 08:34:47.005,88.0,18.0,19760.0,32607.0,331.47,2820.0,13801.0
1786574087526137000,2026/08/13 08:34:47.573,83.0,12.0,19757.0,32607.0,337.46,2797.0,13801.0
1786574088081682500,2026/08/13 08:34:48.112,88.0,15.0,19757.0,32607.0,350.35,2782.0,13801.0
1786574088632914900,2026/08/13 08:34:48.665,84.0,13.0,19757.0,32607.0,356.41,2782.0,13801.0
1786574089186317500,2026/08/13 08:34:49.217,76.0,5.0,19757.0,32607.0,353.76,2775.0,13801.0
1786574113867289500,2026/08/13 08:35:13.909,0.0,0.0,19707.0,32607.0,24.89,667.0,405.0
1786574114429256300,2026/08/13 08:35:14.461,87.0,19.0,19709.0,32607.0,125.02,2707.0,13801.0
1786574114969540400,2026/08/13 08:35:15.000,74.0,16.0,19709.0,32607.0,262.71,2857.0,13801.0
1786574115507978500,2026/08/13 08:35:15.540,84.0,16.0,19709.0,32607.0,297.65,2857.0,13801.0
1786574116059451300,2026/08/13 08:35:16.091,75.0,16.0,19709.0,32607.0,295.62,2857.0,13801.0
1786574116613084800,2026/08/13 08:35:16.644,86.0,19.0,19709.0,32607.0,295.69,2865.0,13801.0
1786574117196380500,2026/08/13 08:35:17.228,83.0,16.0,19714.0,32607.0,290.77,2857.0,13801.0
1786574117736911900,2026/08/13 08:35:17.767,73.0,14.0,19714.0,32607.0,296.0,2842.0,13801.0
1786574118289453100,2026/08/13 08:35:18.320,87.0,19.0,19714.0,32607.0,297.79,2865.0,13801.0
1786574118840452600,2026/08/13 08:35:18.872,80.0,15.0,19714.0,32607.0,298.33,2865.0,13801.0
1786574119393483100,2026/08/13 08:35:19.425,85.0,17.0,19714.0,32607.0,318.73,2850.0,13801.0
1786574119945728900,2026/08/13 08:35:19.977,87.0,19.0,19714.0,32607.0,318.33,2865.0,13801.0
1786574120496060200,2026/08/13 08:35:20.527,87.0,19.0,19714.0,32607.0,301.15,2865.0,13801.0
1786574121035222900,2026/08/13 08:35:21.067,87.0,19.0,19714.0,32607.0,295.56,2865.0,13801.0
1786574121585540700,2026/08/13 08:35:21.617,83.0,15.0,19709.0,32607.0,305.32,2850.0,13801.0
1786574122127237100,2026/08/13 08:35:22.159,82.0,14.0,19709.0,32607.0,325.83,2835.0,13801.0
1786574122679864100,2026/08/13 08:35:22.711,74.0,7.0,19714.0,32607.0,332.71,2835.0,13801.0
1786574123221520800,2026/08/13 08:35:23.253,77.0,7.0,19714.0,32607.0,328.24,2827.0,13801.0
1786574123761894100,2026/08/13 08:35:23.793,86.0,19.0,19714.0,32607.0,311.73,2865.0,13801.0
1786574124304715200,2026/08/13 08:35:24.336,86.0,19.0,19714.0,32607.0,298.89,2865.0,13801.0
1786574124843846800,2026/08/13 08:35:24.876,86.0,19.0,19714.0,32607.0,295.47,2865.0,13801.0
1786574125385842500,2026/08/13 08:35:25.416,87.0,19.0,19714.0,32607.0,294.92,2865.0,13801.0
1786574125940752500,2026/08/13 08:35:25.972,86.0,15.0,19714.0,32607.0,330.84,2820.0,13801.0
1786574126480734500,2026/08/13 08:35:26.512,79.0,14.0,19709.0,32607.0,342.42,2827.0,13801.0
1786574127032243000,2026/08/13 08:35:27.064,76.0,5.0,19709.0,32607.0,338.65,2827.0,13801.0
