sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786575501877579800,2026/08/13 08:58:21.908,0.0,0.0,1978.0,32607.0,39.64,292.0,7001.0
1786575502623171200,2026/08/13 08:58:22.654,0.0,0.0,1979.0,32607.0,38.95,307.0,7001.0
1786575503172136900,2026/08/13 08:58:23.204,0.0,0.0,1979.0,32607.0,39.15,352.0,7001.0
1786575503862729000,2026/08/13 08:58:23.897,0.0,0.0,1971.0,32607.0,39.7,390.0,7001.0
1786575504447596200,2026/08/13 08:58:24.478,0.0,0.0,2468.0,32607.0,49.94,2137.0,14001.0
1786575504994451200,2026/08/13 08:58:25.026,0.0,0.0,2468.0,32607.0,66.88,2482.0,14001.0
1786575505540271800,2026/08/13 08:58:25.571,0.0,0.0,2467.0,32607.0,72.64,2482.0,14001.0
1786575506089836900,2026/08/13 08:58:26.120,0.0,0.0,2513.0,32607.0,72.65,2482.0,14001.0
1786575506640524800,2026/08/13 08:58:26.672,0.0,0.0,2512.0,32607.0,73.71,2497.0,14001.0
1786575507191309000,2026/08/13 08:58:27.223,2.0,0.0,2531.0,32607.0,74.55,2490.0,14001.0
1786575507736440500,2026/08/13 08:58:27.767,0.0,0.0,2521.0,32607.0,75.07,2505.0,14001.0
1786575508286876400,2026/08/13 08:58:28.318,0.0,0.0,2563.0,32607.0,74.66,2482.0,14001.0
1786575508835443700,2026/08/13 08:58:28.865,0.0,0.0,2551.0,32607.0,73.7,2482.0,14001.0
1786575509372861700,2026/08/13 08:58:29.404,0.0,0.0,2547.0,32607.0,73.55,2482.0,14001.0
1786575509923529900,2026/08/13 08:58:29.955,0.0,0.0,2594.0,32607.0,73.79,2490.0,14001.0
1786575510472526900,2026/08/13 08:58:30.504,0.0,1.0,2584.0,32607.0,66.82,1372.0,7001.0
1786575511021965900,2026/08/13 08:58:31.053,0.0,1.0,2580.0,32607.0,49.33,555.0,7001.0
1786575511560618800,2026/08/13 08:58:31.590,2.0,1.0,2624.0,32607.0,40.49,480.0,7001.0
1786575512106412600,2026/08/13 08:58:32.137,0.0,1.0,2588.0,32607.0,40.21,420.0,7001.0
1786575512653824300,2026/08/13 08:58:32.685,0.0,1.0,2588.0,32607.0,39.84,367.0,7001.0
1786575513202806400,2026/08/13 08:58:33.233,0.0,1.0,2588.0,32607.0,39.32,315.0,7001.0
1786575513751811900,2026/08/13 08:58:33.783,0.0,1.0,2646.0,32607.0,39.0,307.0,7001.0
1786575514295777500,2026/08/13 08:58:34.327,1.0,1.0,2676.0,32607.0,38.87,315.0,7001.0
1786575514842275400,2026/08/13 08:58:34.873,0.0,1.0,2692.0,32607.0,39.06,307.0,7001.0
1786575515391984800,2026/08/13 08:58:35.423,0.0,1.0,2708.0,32607.0,38.72,322.0,7001.0
1786575515941536500,2026/08/13 08:58:35.973,0.0,1.0,2734.0,32607.0,38.61,292.0,7001.0
1786575516485580800,2026/08/13 08:58:36.517,0.0,1.0,2734.0,32607.0,38.55,315.0,7001.0
1786575517035721800,2026/08/13 08:58:37.065,1.0,1.0,2760.0,32607.0,38.55,292.0,7001.0
1786575517581576500,2026/08/13 08:58:37.612,0.0,1.0,2786.0,32607.0,38.32,292.0,7001.0
1786575518127620800,2026/08/13 08:58:38.159,0.0,1.0,2836.0,32607.0,38.45,360.0,7001.0
1786575518673825200,2026/08/13 08:58:38.705,1.0,1.0,2880.0,32607.0,38.54,345.0,7001.0
1786575519220214000,2026/08/13 08:58:39.250,0.0,1.0,2930.0,32607.0,38.6,337.0,7001.0
1786575519766414500,2026/08/13 08:58:39.798,0.0,1.0,2968.0,32607.0,38.38,345.0,7001.0
1786575520310190100,2026/08/13 08:58:40.341,0.0,1.0,3006.0,32607.0,38.15,322.0,7001.0
1786575520859637300,2026/08/13 08:58:40.890,0.0,1.0,3050.0,32607.0,37.92,322.0,7001.0
1786575521406124300,2026/08/13 08:58:41.437,0.0,1.0,3096.0,32607.0,37.65,315.0,7001.0
1786575521951444800,2026/08/13 08:58:41.983,0.0,1.0,3140.0,32607.0,37.57,322.0,7001.0
1786575522501024000,2026/08/13 08:58:42.532,1.0,1.0,3190.0,32607.0,37.43,315.0,7001.0
1786575523048462400,2026/08/13 08:58:43.080,1.0,1.0,3234.0,32607.0,37.17,315.0,7001.0
1786575523600433600,2026/08/13 08:58:43.631,1.0,1.0,3278.0,32607.0,37.24,345.0,7001.0
1786575524146323700,2026/08/13 08:58:44.177,0.0,1.0,3330.0,32607.0,37.08,337.0,7001.0
1786575524693937000,2026/08/13 08:58:44.725,0.0,1.0,3380.0,32607.0,37.09,337.0,7001.0
1786575525240811000,2026/08/13 08:58:45.272,1.0,1.0,3424.0,32607.0,37.14,352.0,7001.0
1786575525787600500,2026/08/13 08:58:45.818,0.0,1.0,3468.0,32607.0,36.87,330.0,7001.0
1786575526332237900,2026/08/13 08:58:46.363,0.0,1.0,3514.0,32607.0,36.9,322.0,7001.0
1786575526877652100,2026/08/13 08:58:46.908,0.0,1.0,3558.0,32607.0,36.94,352.0,7001.0
1786575527422793500,2026/08/13 08:58:47.453,0.0,1.0,3602.0,32607.0,36.77,322.0,7001.0
1786575527967487700,2026/08/13 08:58:47.999,0.0,1.0,3646.0,32607.0,36.47,330.0,7001.0
1786575528511201300,2026/08/13 08:58:48.542,1.0,1.0,3684.0,32607.0,36.46,315.0,7001.0
1786575529055629500,2026/08/13 08:58:49.086,0.0,1.0,3722.0,32607.0,36.28,330.0,7001.0
1786575529601244400,2026/08/13 08:58:49.631,1.0,1.0,3766.0,32607.0,36.36,322.0,7001.0
1786575530145498000,2026/08/13 08:58:50.176,0.0,1.0,3810.0,32607.0,36.41,330.0,7001.0
1786575530695184800,2026/08/13 08:58:50.725,0.0,1.0,3856.0,32607.0,36.08,337.0,7001.0
1786575531241195200,2026/08/13 08:58:51.273,0.0,1.0,3900.0,32607.0,35.86,337.0,7001.0
1786575531791166000,2026/08/13 08:58:51.822,0.0,1.0,3944.0,32607.0,36.08,337.0,7001.0
1786575532341683500,2026/08/13 08:58:52.373,0.0,1.0,3988.0,32607.0,36.1,330.0,7001.0
1786575532889406800,2026/08/13 08:58:52.921,1.0,1.0,4026.0,32607.0,35.67,337.0,7001.0
