sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786580669652614400,2026/08/13 10:24:29.697,2.0,3.0,19597.0,32607.0,33.48,517.0,810.0
1786580670218252800,2026/08/13 10:24:30.266,81.0,47.0,19602.0,32607.0,42.34,637.0,13801.0
1786580670803100600,2026/08/13 10:24:30.851,31.0,4.0,19602.0,32607.0,208.03,2850.0,13801.0
1786580671358888900,2026/08/13 10:24:31.406,27.0,5.0,19602.0,32607.0,221.95,2850.0,13801.0
1786580671913884600,2026/08/13 10:24:31.960,75.0,9.0,19602.0,32607.0,259.76,2812.0,13801.0
1786580904044308000,2026/08/13 10:28:24.091,1.0,4.0,19605.0,32607.0,34.78,562.0,810.0
1786580904613150100,2026/08/13 10:28:24.644,52.0,10.0,19597.0,32607.0,75.32,2550.0,13801.0
1786580905169053400,2026/08/13 10:28:25.216,61.0,12.0,19605.0,32607.0,167.43,2857.0,13801.0
1786580905736346100,2026/08/13 10:28:25.768,49.0,10.0,19610.0,32607.0,208.63,2865.0,13801.0
1786580906290805500,2026/08/13 10:28:26.320,43.0,7.0,19604.0,32607.0,236.83,2805.0,13801.0
1786581134276717800,2026/08/13 10:32:14.318,2.0,1.0,19565.0,32607.0,37.64,540.0,7001.0
1786581134827853800,2026/08/13 10:32:14.859,57.0,15.0,19567.0,32607.0,76.14,1440.0,13801.0
1786581135380728800,2026/08/13 10:32:15.411,34.0,5.0,19567.0,32607.0,171.66,2857.0,13801.0
1786581135934918700,2026/08/13 10:32:15.966,81.0,14.0,19567.0,32607.0,229.58,2865.0,13801.0
