profile,algorithm,participants,steps,payload_per_step_bytes,aggregate_wire_bytes,base_network_latency_ms,serialization_ms,software_overhead_ms,completion_time_ms
very_fast_local,binary_tree_reduce,4,2,16,48,0.05,2.56e-06,0.040999999999999995,0.09100256
very_fast_local,binary_tree_allreduce,4,4,16,96,0.1,5.12e-06,0.08199999999999999,0.18200512
very_fast_local,recursive_doubling,4,2,16,128,0.05,2.56e-06,0.040999999999999995,0.09100256
very_fast_local,ring_allreduce,4,6,16,96,0.15000000000000002,7.68e-06,0.12299999999999998,0.27300768000000003
very_fast_local,binary_tree_reduce,4,2,14336,43008,0.05,0.00229376,0.049400000000000006,0.10169376000000001
very_fast_local,binary_tree_allreduce,4,4,14336,86016,0.1,0.00458752,0.09880000000000001,0.20338752000000002
very_fast_local,recursive_doubling,4,2,14336,114688,0.05,0.00229376,0.049400000000000006,0.10169376000000001
very_fast_local,ring_allreduce,4,6,14336,86016,0.15000000000000002,0.00688128,0.14820000000000003,0.30508128
very_fast_local,binary_tree_reduce,4,2,28672,86016,0.05,0.00458752,0.0596,0.11418752
very_fast_local,binary_tree_allreduce,4,4,28672,172032,0.1,0.00917504,0.1192,0.22837504
very_fast_local,recursive_doubling,4,2,28672,229376,0.05,0.00458752,0.0596,0.11418752
very_fast_local,ring_allreduce,4,6,28672,172032,0.15000000000000002,0.01376256,0.17880000000000001,0.34256256000000007
very_fast_local,binary_tree_reduce,4,2,57344,172032,0.05,0.00917504,0.079,0.13817504
very_fast_local,binary_tree_allreduce,4,4,57344,344064,0.1,0.01835008,0.158,0.27635008
very_fast_local,recursive_doubling,4,2,57344,458752,0.05,0.00917504,0.079,0.13817504
very_fast_local,ring_allreduce,4,6,57344,344064,0.15000000000000002,0.02752512,0.237,0.41452512
very_fast_local,binary_tree_reduce,4,2,114688,344064,0.05,0.01835008,0.1171,0.18545008000000002
very_fast_local,binary_tree_allreduce,4,4,114688,688128,0.1,0.03670016,0.2342,0.37090016000000003
