kind,payload_bytes,participants,software_overhead_p50_ms,round_trip_p50_ms,serialization_p50_ms,framing_p50_ms,dispatch_p50_ms,receive_p50_ms,deserialization_p50_ms
localhost_persistent_protocol,128,2,0.020499999999999997,0.0187,0.0007,0.0002,0.0009,0.0148,0.0002
localhost_persistent_protocol,14336,2,0.024700000000000003,0.0196,0.0039,0.0004,0.001,0.0022,0.0001
localhost_persistent_protocol,28672,2,0.0298,0.0213,0.0068,0.0007,0.001,0.0023,0.0002
localhost_persistent_protocol,57344,2,0.0395,0.0248,0.0128,0.001,0.001,0.0023,0.0002
localhost_persistent_protocol,114688,2,0.05855,0.03145,0.0244,0.0018,0.001,0.0031,0.0002
physical_gpu_reduction_compute,14336,2,,,,,0.0165,,
physical_gpu_reduction_compute,28672,2,,,,,0.0155,,
physical_gpu_reduction_compute,14336,4,,,,,0.0275,,
physical_gpu_reduction_compute,28672,4,,,,,0.0458,,
physical_gpu_reduction_compute,28672,2,,,,,0.0148,,
physical_gpu_reduction_compute,57344,2,,,,,0.0151,,
physical_gpu_reduction_compute,28672,4,,,,,0.0262,,
physical_gpu_reduction_compute,57344,4,,,,,0.0471,,
physical_gpu_reduction_compute,57344,2,,,,,0.0146,,
physical_gpu_reduction_compute,114688,2,,,,,0.0143,,
physical_gpu_reduction_compute,57344,4,,,,,0.0262,,
physical_gpu_reduction_compute,114688,4,,,,,0.0269,,
physical_gpu_reduction_compute,14336,2,,,,,0.0143,,
physical_gpu_reduction_compute,28672,2,,,,,0.0146,,
physical_gpu_reduction_compute,14336,8,,,,,0.073,,
physical_gpu_reduction_compute,28672,8,,,,,0.0691,,
physical_gpu_reduction_compute,28672,2,,,,,0.015,,
physical_gpu_reduction_compute,57344,2,,,,,0.0143,,
physical_gpu_reduction_compute,28672,8,,,,,0.0723,,
physical_gpu_reduction_compute,57344,8,,,,,0.0672,,
physical_gpu_reduction_compute,57344,2,,,,,0.0143,,
physical_gpu_reduction_compute,114688,2,,,,,0.015,,
physical_gpu_reduction_compute,57344,8,,,,,0.073,,
physical_gpu_reduction_compute,114688,8,,,,,0.0706,,
physical_gpu_reduction_compute,14336,2,,,,,0.0149,,
physical_gpu_reduction_compute,28672,2,,,,,0.0143,,
physical_gpu_reduction_compute,14336,16,,,,,0.1145,,
physical_gpu_reduction_compute,28672,16,,,,,0.129,,
physical_gpu_reduction_compute,28672,2,,,,,0.0153,,
physical_gpu_reduction_compute,57344,2,,,,,0.0145,,
physical_gpu_reduction_compute,28672,16,,,,,0.1201,,
physical_gpu_reduction_compute,57344,16,,,,,0.1178,,
physical_gpu_reduction_compute,57344,2,,,,,0.0158,,
physical_gpu_reduction_compute,114688,2,,,,,0.0152,,
physical_gpu_reduction_compute,57344,16,,,,,0.1337,,
physical_gpu_reduction_compute,114688,16,,,,,0.1201,,
physical_gpu_reduction_compute,14336,2,,,,,0.0144,,
physical_gpu_reduction_compute,28672,2,,,,,0.015,,
physical_gpu_reduction_compute,14336,32,,,,,0.2646,,
physical_gpu_reduction_compute,28672,32,,,,,0.2563,,
physical_gpu_reduction_compute,28672,2,,,,,0.0366,,
physical_gpu_reduction_compute,57344,2,,,,,0.0151,,
physical_gpu_reduction_compute,28672,32,,,,,0.3707,,
physical_gpu_reduction_compute,57344,32,,,,,0.3795,,
physical_gpu_reduction_compute,57344,2,,,,,0.0146,,
physical_gpu_reduction_compute,114688,2,,,,,0.0145,,
physical_gpu_reduction_compute,57344,32,,,,,0.2395,,
physical_gpu_reduction_compute,114688,32,,,,,0.2689,,
