degree,rows,operator,worker_id,stripe_index,checkpoint_bytes,runtime_weight_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms
4,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,587202560,293765120,0.8873,0.8207679986953735,0.06301199645996092
4,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,587202560,293765120,0.9054,0.8112959861755371,0.08578398027420042
4,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,587202560,293765120,0.8888,0.8123840093612671,0.07641599063873294
4,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,587202560,293765120,0.9192,0.8211519718170166,0.09232002182006838
4,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,587202560,293765120,1.6856,1.5896960496902466,0.0959039503097534
4,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,587202560,293765120,1.6717,1.5753920078277588,0.08848398990631101
4,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,587202560,293765120,1.6818,1.596351981163025,0.08890401535034176
4,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,587202560,293765120,1.7035,1.608415961265564,0.09508403873443605
4,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,587202560,293765120,3.3049,3.2874879837036133,0.017412016296386668
4,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,587202560,293765120,3.2807,3.2628800868988037,0.01781991310119624
4,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,587202560,293765120,3.2764,3.2582719326019287,0.023771946334838923
4,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,587202560,293765120,3.7595,3.7429440021514893,0.016559945678710886
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,293601280,146882560,0.5472,0.450655996799469,0.09196800560951235
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,293601280,146882560,0.5398,0.44886401295661926,0.09413598704338078
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,293601280,146882560,0.5456,0.44624000787734985,0.09870801353454595
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,293601280,146882560,0.5437,0.44652798771858215,0.0951720122814178
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-04,4,293601280,146882560,0.5389,0.446368008852005,0.09302799797058103
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-05,5,293601280,146882560,0.527,0.4399999976158142,0.08100000238418581
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-06,6,293601280,146882560,0.5303,0.42793598771095276,0.09782799787521357
8,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-07,7,293601280,146882560,0.547,0.4589119851589203,0.08765598793029783
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,293601280,146882560,0.9282,0.8274880051612854,0.09747999258041384
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,293601280,146882560,0.9347,0.8295680284500122,0.10513197154998777
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,293601280,146882560,0.9098,0.8262400031089783,0.09365202951431273
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,293601280,146882560,1.151,1.0861120223999023,0.06488797760009768
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-04,4,293601280,146882560,0.9261,0.8288000226020813,0.09079598684310908
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-05,5,293601280,146882560,0.9086,0.809984028339386,0.09881597166061407
8,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-06,6,293601280,146882560,0.9209,0.8252480030059814,0.10438000059127805
