stripe_degree,rows,active_experts,resident_active_bytes_max,input_bytes_per_worker,route_metadata_bytes_per_worker,output_bytes_per_worker,worker_compute_ceiling_ms,sequential_worker_compute_ms,canonical_whole_ms,stripe_canonical_local_ms,naive_per_expert_local_ms,network_visible_outputs_per_worker,naive_network_visible_outputs_per_worker,physical_launches_per_worker,logical_operations_per_worker,relative_l2_error,pass
2,1,35,307077120,14464,128,14336,0.9121,1.8067,1.4579,1.37500352,6.00362912,1,16,17,16,9.501623502260584e-08,True
2,2,35,307077120,28928,256,28672,1.7691,3.5195999999999996,2.9015,2.24580704,7.01205824,1,16,34,32,1.1302809241205591e-07,True
2,4,35,307077120,57856,512,57344,3.4464,6.8697,5.5489,3.95071408,8.99221648,1,16,68,64,1.1130019568568059e-07,True
4,1,35,153538560,14464,128,14336,0.7601,2.8823,1.3188,1.53157856,10.78882976,1,16,17,16,9.279938653420975e-08,True
4,2,35,153538560,28928,256,28672,1.533,5.1636999999999995,2.9114,2.32745712,11.85995952,1,16,34,32,1.1371876577374948e-07,True
4,4,35,153538560,57856,512,57344,2.5334,10.067900000000002,5.7664,3.3738142399999997,13.45681904,1,16,68,64,1.1039006584478521e-07,True
8,1,35,76769280,14464,128,14336,0.4211,3.2628,1.466,1.5011536,15.3870304,1,16,17,16,8.983441623827523e-08,True
8,2,35,76769280,28928,256,28672,0.8487,6.4943,2.9001,1.9609072,16.2596608,1,16,34,32,1.1654825179506945e-07,True
8,4,35,76769280,57856,512,57344,1.6472,12.8471,5.8042,2.8237144,17.9482216,1,16,68,64,1.1191783748986193e-07,True
16,1,35,38384640,14464,128,14336,0.4435,6.489600000000001,1.4738,1.83212864,20.346631040000002,1,16,17,16,9.991667986539704e-08,True
16,2,35,38384640,28928,256,28672,0.8546,12.615000000000002,2.8983,2.28455728,21.34956208,1,16,34,32,1.233427322850788e-07,True
16,4,35,38384640,57856,512,57344,1.6632,24.716,5.7831,3.17581456,23.341824159999998,1,16,68,64,1.2007426564015513e-07,True
32,1,35,19192320,14464,128,14336,0.4919,13.734599999999995,1.4738,2.18910368,25.332231680000003,1,16,17,16,1.1421873887144462e-07,True
32,2,35,19192320,28928,256,28672,0.8862,26.714600000000004,2.9001,2.63390736,26.46516336,1,16,34,32,1.3771608261170273e-07,True
32,4,35,19192320,57856,512,57344,1.7186,52.43749999999999,5.7765,3.5673147199999997,28.77482672,1,16,68,64,1.317022995549186e-07,True
