arm,gpu_utilization_percent,memory_controller_utilization_percent,power_w,temperature_c,timestamp,vram_used_mib
attention,1.0,0.0,36.35,53.0,2026/08/13 15:04:42.869,1533.0
attention,6.0,1.0,39.61,53.0,2026/08/13 15:04:43.673,2029.0
attention,0.0,0.0,54.49,54.0,2026/08/13 15:04:44.370,2034.0
attention,0.0,0.0,70.07,54.0,2026/08/13 15:04:45.004,2034.0
attention,0.0,0.0,70.18,54.0,2026/08/13 15:04:45.575,2034.0
attention,0.0,0.0,70.32,54.0,2026/08/13 15:04:46.145,2034.0
attention,0.0,0.0,70.42,54.0,2026/08/13 15:04:46.716,2098.0
attention,9.0,1.0,73.48,54.0,2026/08/13 15:04:47.270,2320.0
attention,11.0,1.0,80.93,55.0,2026/08/13 15:04:47.824,2212.0
attention,11.0,1.0,86.85,55.0,2026/08/13 15:04:48.378,2127.0
attention,9.0,1.0,87.49,55.0,2026/08/13 15:04:48.917,2327.0
attention,9.0,1.0,88.55,55.0,2026/08/13 15:04:49.472,2127.0
attention,12.0,1.0,81.67,54.0,2026/08/13 15:04:50.024,2267.0
attention,12.0,1.0,73.8,55.0,2026/08/13 15:04:50.578,2093.0
attention,20.0,2.0,67.36,55.0,2026/08/13 15:04:51.130,2315.0
attention,14.0,1.0,64.52,54.0,2026/08/13 15:04:51.682,2251.0
attention,14.0,1.0,66.21,54.0,2026/08/13 15:04:52.234,2153.0
attention,16.0,1.0,70.53,54.0,2026/08/13 15:04:52.782,2351.0
attention,12.0,1.0,72.07,54.0,2026/08/13 15:04:53.334,2133.0
attention,12.0,1.0,75.96,55.0,2026/08/13 15:04:53.900,2273.0
attention,11.0,2.0,73.79,54.0,2026/08/13 15:04:54.453,2109.0
attention,23.0,2.0,76.66,57.0,2026/08/13 15:04:55.007,2371.0
attention,18.0,1.0,80.58,55.0,2026/08/13 15:04:55.560,2215.0
attention,17.0,2.0,80.97,55.0,2026/08/13 15:04:56.114,2123.0
attention,21.0,2.0,83.4,56.0,2026/08/13 15:04:56.667,2319.0
attention,23.0,1.0,86.97,56.0,2026/08/13 15:04:57.217,2115.0
attention,17.0,1.0,87.33,56.0,2026/08/13 15:04:57.756,2237.0
attention,17.0,1.0,88.85,55.0,2026/08/13 15:04:58.295,2271.0
attention,11.0,1.0,86.35,55.0,2026/08/13 15:04:58.847,2189.0
attention,5.0,1.0,51.68,54.0,2026/08/13 15:04:59.400,2085.0
attention,12.0,1.0,54.98,55.0,2026/08/13 15:04:59.954,2049.0
attention,4.0,1.0,52.4,54.0,2026/08/13 15:05:00.508,2139.0
attention,14.0,1.0,57.3,55.0,2026/08/13 15:05:01.061,2049.0
attention,3.0,1.0,57.73,54.0,2026/08/13 15:05:01.600,2117.0
attention,6.0,1.0,49.08,54.0,2026/08/13 15:05:02.150,2327.0
attention,4.0,0.0,67.69,55.0,2026/08/13 15:05:02.704,2179.0
attention,19.0,2.0,68.64,55.0,2026/08/13 15:05:03.257,2083.0
attention,5.0,1.0,55.04,54.0,2026/08/13 15:05:03.809,2049.0
attention,10.0,1.0,60.78,55.0,2026/08/13 15:05:04.349,2103.0
attention,18.0,1.0,61.08,55.0,2026/08/13 15:05:04.900,2043.0
attention,3.0,1.0,62.7,54.0,2026/08/13 15:05:05.452,2071.0
attention,5.0,1.0,50.7,54.0,2026/08/13 15:05:06.004,2237.0
attention,13.0,1.0,74.78,56.0,2026/08/13 15:05:06.555,2043.0
attention,19.0,1.0,81.45,56.0,2026/08/13 15:05:07.110,2043.0
