split,layer,rows,stripe_degree,worker_id,stripe_index,head_start,head_stop,runtime_weight_bytes,persistent_state_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms,physical_launches,network_visible_outputs,cross_degree_relative_l2,pass
calibration,45,1,4,kda.layer-45.p4.worker-00,0,0,24,64204896,1720320,0.3762,,,8,1,0.0,True
calibration,45,1,4,kda.layer-45.p4.worker-01,1,24,48,64204896,1720320,0.3778,,,8,1,0.0,True
calibration,45,1,4,kda.layer-45.p4.worker-02,2,48,72,64204896,1720320,0.3738,,,8,1,0.0,True
calibration,45,1,4,kda.layer-45.p4.worker-03,3,72,96,64204896,1720320,0.3749,,,8,1,0.0,True
calibration,45,1,8,kda.layer-45.p8.worker-00,0,0,12,32102448,860160,0.2619,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-01,1,12,24,32102448,860160,0.2636,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-02,2,24,36,32102448,860160,0.2639,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-03,3,36,48,32102448,860160,0.266,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-04,4,48,60,32102448,860160,0.2825,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-05,5,60,72,32102448,860160,0.2674,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-06,6,72,84,32102448,860160,0.274,,,8,1,1.112750669291192e-07,True
calibration,45,1,8,kda.layer-45.p8.worker-07,7,84,96,32102448,860160,0.2648,,,8,1,1.112750669291192e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-00,0,0,6,16051224,430080,0.2404,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-01,1,6,12,16051224,430080,0.2152,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-02,2,12,18,16051224,430080,0.2119,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-03,3,18,24,16051224,430080,0.2117,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-04,4,24,30,16051224,430080,0.2169,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-05,5,30,36,16051224,430080,0.2127,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-06,6,36,42,16051224,430080,0.2122,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-07,7,42,48,16051224,430080,0.2184,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-08,8,48,54,16051224,430080,0.212,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-09,9,54,60,16051224,430080,0.2131,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-10,10,60,66,16051224,430080,0.2209,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-11,11,66,72,16051224,430080,0.2129,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-12,12,72,78,16051224,430080,0.2129,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-13,13,78,84,16051224,430080,0.2116,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-14,14,84,90,16051224,430080,0.2123,,,8,1,1.1417288205001517e-07,True
calibration,45,1,16,kda.layer-45.p16.worker-15,15,90,96,16051224,430080,0.2176,,,8,1,1.1417288205001517e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-00,0,0,3,8025612,215040,0.1884,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-01,1,3,6,8025612,215040,0.188,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-02,2,6,9,8025612,215040,0.1959,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-03,3,9,12,8025612,215040,0.1909,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-04,4,12,15,8025612,215040,0.195,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-05,5,15,18,8025612,215040,0.1889,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-06,6,18,21,8025612,215040,0.1903,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-07,7,21,24,8025612,215040,0.19,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-08,8,24,27,8025612,215040,0.1886,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-09,9,27,30,8025612,215040,0.1883,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-10,10,30,33,8025612,215040,0.1892,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-11,11,33,36,8025612,215040,0.188,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-12,12,36,39,8025612,215040,0.1987,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-13,13,39,42,8025612,215040,0.1862,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-14,14,42,45,8025612,215040,0.1881,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-15,15,45,48,8025612,215040,0.1884,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-16,16,48,51,8025612,215040,0.1884,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-17,17,51,54,8025612,215040,0.1975,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-18,18,54,57,8025612,215040,0.195,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-19,19,57,60,8025612,215040,0.1863,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-20,20,60,63,8025612,215040,0.1877,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-21,21,63,66,8025612,215040,0.1877,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-22,22,66,69,8025612,215040,0.1868,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-23,23,69,72,8025612,215040,0.1939,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-24,24,72,75,8025612,215040,0.1858,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-25,25,75,78,8025612,215040,0.1878,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-26,26,78,81,8025612,215040,0.1954,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-27,27,81,84,8025612,215040,0.202,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-28,28,84,87,8025612,215040,0.187,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-29,29,87,90,8025612,215040,0.1946,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-30,30,90,93,8025612,215040,0.1952,,,8,1,1.1473204689217347e-07,True
calibration,45,1,32,kda.layer-45.p32.worker-31,31,93,96,8025612,215040,0.1871,,,8,1,1.1473204689217347e-07,True
calibration,45,2,4,kda.layer-45.p4.worker-00,0,0,24,64204896,1720320,0.5435,,,8,1,0.0,True
calibration,45,2,4,kda.layer-45.p4.worker-01,1,24,48,64204896,1720320,0.5498,,,8,1,0.0,True
calibration,45,2,4,kda.layer-45.p4.worker-02,2,48,72,64204896,1720320,0.5463,,,8,1,0.0,True
calibration,45,2,4,kda.layer-45.p4.worker-03,3,72,96,64204896,1720320,0.5475,,,8,1,0.0,True
calibration,45,2,8,kda.layer-45.p8.worker-00,0,0,12,32102448,860160,0.3964,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-01,1,12,24,32102448,860160,0.3938,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-02,2,24,36,32102448,860160,0.3963,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-03,3,36,48,32102448,860160,0.395,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-04,4,48,60,32102448,860160,0.3934,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-05,5,60,72,32102448,860160,0.3952,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-06,6,72,84,32102448,860160,0.3959,,,8,1,1.0864952188498426e-07,True
calibration,45,2,8,kda.layer-45.p8.worker-07,7,84,96,32102448,860160,0.3964,,,8,1,1.0864952188498426e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-00,0,0,6,16051224,430080,0.3217,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-01,1,6,12,16051224,430080,0.3181,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-02,2,12,18,16051224,430080,0.3186,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-03,3,18,24,16051224,430080,0.3143,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-04,4,24,30,16051224,430080,0.3215,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-05,5,30,36,16051224,430080,0.3187,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-06,6,36,42,16051224,430080,0.3169,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-07,7,42,48,16051224,430080,0.3209,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-08,8,48,54,16051224,430080,0.3207,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-09,9,54,60,16051224,430080,0.3232,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-10,10,60,66,16051224,430080,0.3171,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-11,11,66,72,16051224,430080,0.321,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-12,12,72,78,16051224,430080,0.317,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-13,13,78,84,16051224,430080,0.3196,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-14,14,84,90,16051224,430080,0.3148,,,8,1,1.1091338456895014e-07,True
