split,layer,rows,stripe_degree,worker_id,stripe_index,head_start,head_stop,runtime_weight_bytes,persistent_state_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms,physical_launches,network_visible_outputs,cross_degree_relative_l2,pass
calibration,47,1,4,mla.layer-47.p4.worker-00,0,0,24,54347776,589824,0.2181,,,6,1,0.0,True
calibration,47,1,4,mla.layer-47.p4.worker-01,1,24,48,54347776,589824,0.2191,,,6,1,0.0,True
calibration,47,1,4,mla.layer-47.p4.worker-02,2,48,72,54347776,589824,0.2192,,,6,1,0.0,True
calibration,47,1,4,mla.layer-47.p4.worker-03,3,72,96,54347776,589824,0.218,,,6,1,0.0,True
calibration,47,1,8,mla.layer-47.p8.worker-00,0,0,12,27188224,589824,0.1965,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-01,1,12,24,27188224,589824,0.2279,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-02,2,24,36,27188224,589824,0.1975,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-03,3,36,48,27188224,589824,0.1952,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-04,4,48,60,27188224,589824,0.1935,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-05,5,60,72,27188224,589824,0.1944,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-06,6,72,84,27188224,589824,0.1969,,,6,1,1.195852594888725e-07,True
calibration,47,1,8,mla.layer-47.p8.worker-07,7,84,96,27188224,589824,0.1947,,,6,1,1.195852594888725e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-00,0,0,6,13608448,589824,0.1914,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-01,1,6,12,13608448,589824,0.1965,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-02,2,12,18,13608448,589824,0.1965,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-03,3,18,24,13608448,589824,0.1945,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-04,4,24,30,13608448,589824,0.1947,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-05,5,30,36,13608448,589824,0.1894,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-06,6,36,42,13608448,589824,0.1975,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-07,7,42,48,13608448,589824,0.1955,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-08,8,48,54,13608448,589824,0.181,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-09,9,54,60,13608448,589824,0.1894,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-10,10,60,66,13608448,589824,0.1946,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-11,11,66,72,13608448,589824,0.1934,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-12,12,72,78,13608448,589824,0.182,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-13,13,78,84,13608448,589824,0.195,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-14,14,84,90,13608448,589824,0.1896,,,6,1,1.2137324438769455e-07,True
calibration,47,1,16,mla.layer-47.p16.worker-15,15,90,96,13608448,589824,0.1932,,,6,1,1.2137324438769455e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-00,0,0,3,6818560,589824,0.1923,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-01,1,3,6,6818560,589824,0.1913,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-02,2,6,9,6818560,589824,0.1913,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-03,3,9,12,6818560,589824,0.1741,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-04,4,12,15,6818560,589824,0.1724,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-05,5,15,18,6818560,589824,0.1749,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-06,6,18,21,6818560,589824,0.1737,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-07,7,21,24,6818560,589824,0.1749,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-08,8,24,27,6818560,589824,0.1904,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-09,9,27,30,6818560,589824,0.1759,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-10,10,30,33,6818560,589824,0.1754,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-11,11,33,36,6818560,589824,0.1744,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-12,12,36,39,6818560,589824,0.1791,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-13,13,39,42,6818560,589824,0.175,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-14,14,42,45,6818560,589824,0.169,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-15,15,45,48,6818560,589824,0.1697,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-16,16,48,51,6818560,589824,0.1735,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-17,17,51,54,6818560,589824,0.175,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-18,18,54,57,6818560,589824,0.1751,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-19,19,57,60,6818560,589824,0.1913,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-20,20,60,63,6818560,589824,0.1681,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-21,21,63,66,6818560,589824,0.1768,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-22,22,66,69,6818560,589824,0.1895,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-23,23,69,72,6818560,589824,0.1767,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-24,24,72,75,6818560,589824,0.1766,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-25,25,75,78,6818560,589824,0.1764,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-26,26,78,81,6818560,589824,0.1743,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-27,27,81,84,6818560,589824,0.1934,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-28,28,84,87,6818560,589824,0.1773,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-29,29,87,90,6818560,589824,0.1749,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-30,30,90,93,6818560,589824,0.173,,,6,1,1.2280993769706522e-07,True
calibration,47,1,32,mla.layer-47.p32.worker-31,31,93,96,6818560,589824,0.1741,,,6,1,1.2280993769706522e-07,True
calibration,47,2,4,mla.layer-47.p4.worker-00,0,0,24,54347776,589824,0.3369,,,9,1,0.0,True
calibration,47,2,4,mla.layer-47.p4.worker-01,1,24,48,54347776,589824,0.3359,,,9,1,0.0,True
calibration,47,2,4,mla.layer-47.p4.worker-02,2,48,72,54347776,589824,0.335,,,9,1,0.0,True
calibration,47,2,4,mla.layer-47.p4.worker-03,3,72,96,54347776,589824,0.3367,,,9,1,0.0,True
calibration,47,2,8,mla.layer-47.p8.worker-00,0,0,12,27188224,589824,0.2853,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-01,1,12,24,27188224,589824,0.2876,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-02,2,24,36,27188224,589824,0.2863,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-03,3,36,48,27188224,589824,0.2855,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-04,4,48,60,27188224,589824,0.2865,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-05,5,60,72,27188224,589824,0.2877,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-06,6,72,84,27188224,589824,0.2853,,,9,1,1.2717509749510614e-07,True
calibration,47,2,8,mla.layer-47.p8.worker-07,7,84,96,27188224,589824,0.2867,,,9,1,1.2717509749510614e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-00,0,0,6,13608448,589824,0.2665,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-01,1,6,12,13608448,589824,0.264,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-02,2,12,18,13608448,589824,0.2631,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-03,3,18,24,13608448,589824,0.2903,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-04,4,24,30,13608448,589824,0.2664,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-05,5,30,36,13608448,589824,0.2632,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-06,6,36,42,13608448,589824,0.2652,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-07,7,42,48,13608448,589824,0.265,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-08,8,48,54,13608448,589824,0.2646,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-09,9,54,60,13608448,589824,0.2641,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-10,10,60,66,13608448,589824,0.2642,,,9,1,1.2860943614266105e-07,True
calibration,47,2,16,mla.layer-47.p16.worker-11,11,66,72,13608448,589824,0.263,,,9,1,1.2860943614266105e-07,True
