degree,rows,operator,worker_id,stripe_index,checkpoint_bytes,runtime_weight_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms
4,1,dense_mlp,layer-00.dense_mlp_stripe.worker-00,0,363331584,102187008,0.5657,0.5465279817581177,0.017763977718353252
4,1,dense_mlp,layer-00.dense_mlp_stripe.worker-01,1,363331584,102187008,0.5459,0.5328959822654724,0.016291991758346558
4,1,dense_mlp,layer-00.dense_mlp_stripe.worker-02,2,363331584,102187008,0.5493,0.5343040227890015,0.014995977210998546
4,1,dense_mlp,layer-00.dense_mlp_stripe.worker-03,3,363331584,102187008,0.5431,0.5303999781608582,0.015219990015029883
4,1,latent_down,layer-89.latent_down_projection_stripe.worker-00,0,12845056,3612672,0.0608,0.04739199951291084,0.013727999198436737
4,1,latent_down,layer-89.latent_down_projection_stripe.worker-01,1,12845056,3612672,0.0575,0.04598399996757507,0.01151600003242493
4,1,latent_down,layer-89.latent_down_projection_stripe.worker-02,2,12845056,3612672,0.0586,0.045504000037908554,0.013095999962091445
4,1,latent_down,layer-89.latent_down_projection_stripe.worker-03,3,12845056,3612672,0.0596,0.04636799916625023,0.013232000833749771
4,1,latent_up,layer-89.latent_up_projection_stripe.worker-00,0,12845056,3612672,0.0732,0.05769599974155426,0.015504000258445741
4,1,latent_up,layer-89.latent_up_projection_stripe.worker-01,1,12845056,3612672,0.0606,0.047648001462221146,0.013876001602411273
4,1,latent_up,layer-89.latent_up_projection_stripe.worker-02,2,12845056,3612672,0.0647,0.04476799815893173,0.014107998472452157
4,1,latent_up,layer-89.latent_up_projection_stripe.worker-03,3,12845056,3612672,0.0606,0.044224001467227936,0.015312000411748884
4,2,dense_mlp,layer-00.dense_mlp_stripe.worker-00,0,363331584,102187008,0.7755,0.7573440074920654,0.018155992507934537
4,2,dense_mlp,layer-00.dense_mlp_stripe.worker-01,1,363331584,102187008,0.7716,0.7559360265731812,0.015980013847351038
4,2,dense_mlp,layer-00.dense_mlp_stripe.worker-02,2,363331584,102187008,0.7737,0.7591040134429932,0.015023995590209949
4,2,dense_mlp,layer-00.dense_mlp_stripe.worker-03,3,363331584,102187008,0.8514,0.7890239953994751,0.01871997375488288
4,2,latent_down,layer-89.latent_down_projection_stripe.worker-00,0,12845056,3612672,0.0617,0.04809600114822388,0.013603998851776121
4,2,latent_down,layer-89.latent_down_projection_stripe.worker-01,1,12845056,3612672,0.067,0.05488000065088272,0.012119999349117283
4,2,latent_down,layer-89.latent_down_projection_stripe.worker-02,2,12845056,3612672,0.0599,0.04918399825692177,0.010716001743078234
4,2,latent_down,layer-89.latent_down_projection_stripe.worker-03,3,12845056,3612672,0.0643,0.05289600044488907,0.011764001780748365
4,2,latent_up,layer-89.latent_up_projection_stripe.worker-00,0,12845056,3612672,0.0732,0.06067200005054474,0.013644001102447512
4,2,latent_up,layer-89.latent_up_projection_stripe.worker-01,1,12845056,3612672,0.0754,0.058720000088214874,0.013492000085115433
4,2,latent_up,layer-89.latent_up_projection_stripe.worker-02,2,12845056,3612672,0.0753,0.06128000095486641,0.013704000610113148
4,2,latent_up,layer-89.latent_up_projection_stripe.worker-03,3,12845056,3612672,0.0768,0.06358399987220764,0.013564000821113587
4,4,dense_mlp,layer-00.dense_mlp_stripe.worker-00,0,363331584,102187008,1.26,1.242751955986023,0.01724804401397706
4,4,dense_mlp,layer-00.dense_mlp_stripe.worker-01,1,363331584,102187008,1.2845,1.2621439695358276,0.0202119754791259
4,4,dense_mlp,layer-00.dense_mlp_stripe.worker-02,2,363331584,102187008,1.2772,1.2603199481964111,0.01729203662872325
4,4,dense_mlp,layer-00.dense_mlp_stripe.worker-03,3,363331584,102187008,1.261,1.2441600561141968,0.01671595783233637
4,4,latent_down,layer-89.latent_down_projection_stripe.worker-00,0,12845056,3612672,0.1069,0.08915200084447861,0.01499599727392198
4,4,latent_down,layer-89.latent_down_projection_stripe.worker-01,1,12845056,3612672,0.0921,0.07187200337648392,0.020227996623516084
4,4,latent_down,layer-89.latent_down_projection_stripe.worker-02,2,12845056,3612672,0.0804,0.06524799764156342,0.013888000512123105
4,4,latent_down,layer-89.latent_down_projection_stripe.worker-03,3,12845056,3612672,0.0794,0.06409599632024765,0.017204003679752347
4,4,latent_up,layer-89.latent_up_projection_stripe.worker-00,0,12845056,3612672,0.1057,0.09299200028181076,0.013407998359203338
4,4,latent_up,layer-89.latent_up_projection_stripe.worker-01,1,12845056,3612672,0.1066,0.09385599941015244,0.013131997346878047
4,4,latent_up,layer-89.latent_up_projection_stripe.worker-02,2,12845056,3612672,0.1091,0.0942080020904541,0.014795997178554537
4,4,latent_up,layer-89.latent_up_projection_stripe.worker-03,3,12845056,3612672,0.1082,0.09455999732017517,0.013640002679824834
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-00,0,181665792,51093504,0.3126,0.2991360127925873,0.01370800962448121
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-01,1,181665792,51093504,0.316,0.30214399099349976,0.013856009006500247
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-02,2,181665792,51093504,0.3239,0.3105280101299286,0.014672006082534772
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-03,3,181665792,51093504,0.3165,0.3022400140762329,0.014259985923767093
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-04,4,181665792,51093504,0.318,0.3022719919681549,0.015344005107879644
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-05,5,181665792,51093504,0.3241,0.30828800797462463,0.014884007310867309
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-06,6,181665792,51093504,0.3147,0.29657599329948425,0.01438000054359434
8,1,dense_mlp,layer-00.dense_mlp_stripe.worker-07,7,181665792,51093504,0.3148,0.29628801345825195,0.015211986541748046
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-00,0,6422528,1806336,0.051,0.036607999354600906,0.013496000266075135
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-01,1,6422528,1806336,0.1151,0.04259200021624565,0.03222000221014022
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-02,2,6422528,1806336,0.0479,0.03619199991226196,0.011708000087738035
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-03,3,6422528,1806336,0.0463,0.035711999982595444,0.010427998799085618
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-04,4,6422528,1806336,0.0439,0.03471999987959862,0.009608000743389127
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-05,5,6422528,1806336,0.2284,0.033824000507593155,0.0865519975423813
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-06,6,6422528,1806336,0.0445,0.03468799963593483,0.00978000012040138
8,1,latent_down,layer-89.latent_down_projection_stripe.worker-07,7,6422528,1806336,0.0435,0.03372799977660179,0.009772000223398206
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-00,0,6422528,1806336,0.051,0.03766399994492531,0.013351999896764756
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-01,1,6422528,1806336,0.056,0.03951999917626381,0.016436000406742098
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-02,2,6422528,1806336,0.0536,0.03932800143957138,0.014271998560428621
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-03,3,6422528,1806336,0.0573,0.041280001401901245,0.015316000688076016
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-04,4,6422528,1806336,0.0532,0.03961599990725517,0.013584000092744825
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-05,5,6422528,1806336,0.0566,0.04185599833726883,0.015844001662731172
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-06,6,6422528,1806336,0.0527,0.03999999910593033,0.012700000894069668
8,1,latent_up,layer-89.latent_up_projection_stripe.worker-07,7,6422528,1806336,0.0525,0.03961599990725517,0.012884000092744825
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-00,0,181665792,51093504,0.4237,0.40380799770355225,0.017572006607055657
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-01,1,181665792,51093504,0.4102,0.3962559998035431,0.015255987834930429
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-02,2,181665792,51093504,0.4137,0.3999679982662201,0.01373200173377992
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-03,3,181665792,51093504,0.412,0.3964160084724426,0.01558399152755735
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-04,4,181665792,51093504,0.4104,0.3968000113964081,0.013595995426177954
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-05,5,181665792,51093504,0.4119,0.39827200770378113,0.01475600409507749
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-06,6,181665792,51093504,0.4112,0.39747199416160583,0.014379987525939941
8,2,dense_mlp,layer-00.dense_mlp_stripe.worker-07,7,181665792,51093504,0.4091,0.39526399970054626,0.013756006765365592
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-00,0,6422528,1806336,0.0595,0.04569600149989128,0.013343998640775678
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-01,1,6422528,1806336,0.0553,0.04476799815893173,0.01053200184106827
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-02,2,6422528,1806336,0.0657,0.05158400163054466,0.012675998580455775
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-03,3,6422528,1806336,0.0552,0.04492799937725067,0.010715999680757524
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-04,4,6422528,1806336,0.0443,0.03510399907827377,0.009323998171091079
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-05,5,6422528,1806336,0.0544,0.045024000108242035,0.009375999891757962
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-06,6,6422528,1806336,0.0628,0.05075199902057648,0.012048000979423518
8,2,latent_down,layer-89.latent_down_projection_stripe.worker-07,7,6422528,1806336,0.0469,0.03759999945759773,0.009300000542402265
8,2,latent_up,layer-89.latent_up_projection_stripe.worker-00,0,6422528,1806336,0.0672,0.054336000233888626,0.013203998899459835
8,2,latent_up,layer-89.latent_up_projection_stripe.worker-01,1,6422528,1806336,0.0666,0.05305600166320801,0.013543998336791999
