degree,rows,operator,worker_id,stripe_index,checkpoint_bytes,runtime_weight_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms
4,1,shared_expert,layer-89.shared_expert_stripe.worker-00,0,66060288,18579456,0.1433,0.11971200257539749,0.014019999074935924
4,1,shared_expert,layer-89.shared_expert_stripe.worker-01,1,66060288,18579456,0.1386,0.11807999759912491,0.020520002400875093
4,1,shared_expert,layer-89.shared_expert_stripe.worker-02,2,66060288,18579456,0.1371,0.12035199999809265,0.01760400199890136
4,1,shared_expert,layer-89.shared_expert_stripe.worker-03,3,66060288,18579456,0.1353,0.11641599982976913,0.016628003656864176
4,2,shared_expert,layer-89.shared_expert_stripe.worker-00,0,66060288,18579456,0.1855,0.17190399765968323,0.013728007316589352
4,2,shared_expert,layer-89.shared_expert_stripe.worker-01,1,66060288,18579456,0.1794,0.16233600676059723,0.017063993239402775
4,2,shared_expert,layer-89.shared_expert_stripe.worker-02,2,66060288,18579456,0.1724,0.15779200196266174,0.01445200555324555
4,2,shared_expert,layer-89.shared_expert_stripe.worker-03,3,66060288,18579456,0.184,0.16828800737857819,0.017011992621421806
4,4,shared_expert,layer-89.shared_expert_stripe.worker-00,0,66060288,18579456,0.2802,0.26230400800704956,0.018211994457244862
4,4,shared_expert,layer-89.shared_expert_stripe.worker-01,1,66060288,18579456,0.2729,0.2533760070800781,0.01952399291992185
4,4,shared_expert,layer-89.shared_expert_stripe.worker-02,2,66060288,18579456,0.2669,0.2494720071554184,0.0212040066957474
4,4,shared_expert,layer-89.shared_expert_stripe.worker-03,3,66060288,18579456,0.273,0.2516480088233948,0.019564011383056634
8,1,shared_expert,layer-89.shared_expert_stripe.worker-00,0,33030144,9289728,0.1078,0.09417600184679031,0.013623998153209693
8,1,shared_expert,layer-89.shared_expert_stripe.worker-01,1,33030144,9289728,0.0988,0.08617600053548813,0.013528002107143403
8,1,shared_expert,layer-89.shared_expert_stripe.worker-02,2,33030144,9289728,0.1001,0.0865280032157898,0.013159997010231017
8,1,shared_expert,layer-89.shared_expert_stripe.worker-03,3,33030144,9289728,0.098,0.084927998483181,0.014083999323844909
8,1,shared_expert,layer-89.shared_expert_stripe.worker-04,4,33030144,9289728,0.1088,0.09494400024414062,0.012659999728202823
8,1,shared_expert,layer-89.shared_expert_stripe.worker-05,5,33030144,9289728,0.1039,0.09040000289678574,0.01349999710321427
8,1,shared_expert,layer-89.shared_expert_stripe.worker-06,6,33030144,9289728,0.1014,0.08796799927949905,0.013371996784210208
8,1,shared_expert,layer-89.shared_expert_stripe.worker-07,7,33030144,9289728,0.1153,0.10265599936246872,0.014187998592853551
8,2,shared_expert,layer-89.shared_expert_stripe.worker-00,0,33030144,9289728,0.1299,0.11695999652147293,0.012940003478527057
8,2,shared_expert,layer-89.shared_expert_stripe.worker-01,1,33030144,9289728,0.1279,0.11494400352239609,0.013087998735904688
8,2,shared_expert,layer-89.shared_expert_stripe.worker-02,2,33030144,9289728,0.1289,0.1093439981341362,0.015956001865863795
8,2,shared_expert,layer-89.shared_expert_stripe.worker-03,3,33030144,9289728,0.1261,0.11292800307273865,0.013307997798919668
8,2,shared_expert,layer-89.shared_expert_stripe.worker-04,4,33030144,9289728,0.1274,0.11356800049543381,0.013831999504566206
8,2,shared_expert,layer-89.shared_expert_stripe.worker-05,5,33030144,9289728,0.1247,0.11020799726247787,0.01362800089120865
8,2,shared_expert,layer-89.shared_expert_stripe.worker-06,6,33030144,9289728,0.1252,0.11100800335407257,0.014191996645927435
8,2,shared_expert,layer-89.shared_expert_stripe.worker-07,7,33030144,9289728,0.1249,0.11132799834012985,0.013891996645927426
8,4,shared_expert,layer-89.shared_expert_stripe.worker-00,0,33030144,9289728,0.1812,0.16527999937534332,0.015920000624656677
8,4,shared_expert,layer-89.shared_expert_stripe.worker-01,1,33030144,9289728,0.1828,0.16873599588871002,0.014468001317977902
8,4,shared_expert,layer-89.shared_expert_stripe.worker-02,2,33030144,9289728,0.1786,0.16371199488639832,0.015423994231224036
8,4,shared_expert,layer-89.shared_expert_stripe.worker-03,3,33030144,9289728,0.1746,0.1589439958333969,0.015703992676734918
8,4,shared_expert,layer-89.shared_expert_stripe.worker-04,4,33030144,9289728,0.1734,0.1584639996290207,0.015176005244255053
8,4,shared_expert,layer-89.shared_expert_stripe.worker-05,5,33030144,9289728,0.1754,0.16012799739837646,0.015272002601623536
8,4,shared_expert,layer-89.shared_expert_stripe.worker-06,6,33030144,9289728,0.176,0.16060799360275269,0.015028000473976122
8,4,shared_expert,layer-89.shared_expert_stripe.worker-07,7,33030144,9289728,0.1782,0.16307200491428375,0.015367998600006094
16,1,shared_expert,layer-89.shared_expert_stripe.worker-00,0,16515072,4644864,0.0859,0.07206399738788605,0.01318799723386764
16,1,shared_expert,layer-89.shared_expert_stripe.worker-01,1,16515072,4644864,0.0848,0.07097599655389786,0.013824003446102143
16,1,shared_expert,layer-89.shared_expert_stripe.worker-02,2,16515072,4644864,0.0868,0.0735040009021759,0.013451996970176697
16,1,shared_expert,layer-89.shared_expert_stripe.worker-03,3,16515072,4644864,0.0896,0.07552000135183334,0.01375599759817124
16,1,shared_expert,layer-89.shared_expert_stripe.worker-04,4,16515072,4644864,0.0911,0.07872000336647034,0.012408002996444706
16,1,shared_expert,layer-89.shared_expert_stripe.worker-05,5,16515072,4644864,0.0863,0.0729919970035553,0.013408002996444707
16,1,shared_expert,layer-89.shared_expert_stripe.worker-06,6,16515072,4644864,0.0822,0.06860800087451935,0.014104003024101253
16,1,shared_expert,layer-89.shared_expert_stripe.worker-07,7,16515072,4644864,0.0909,0.07692799717187881,0.01397200282812118
16,1,shared_expert,layer-89.shared_expert_stripe.worker-08,8,16515072,4644864,0.0943,0.07983999699354172,0.013707996952533719
16,1,shared_expert,layer-89.shared_expert_stripe.worker-09,9,16515072,4644864,0.0865,0.07411199808120728,0.013040000522136691
16,1,shared_expert,layer-89.shared_expert_stripe.worker-10,10,16515072,4644864,0.0852,0.07206399738788605,0.013764002931118013
16,1,shared_expert,layer-89.shared_expert_stripe.worker-11,11,16515072,4644864,0.0887,0.07568000257015228,0.013640001225471501
16,1,shared_expert,layer-89.shared_expert_stripe.worker-12,12,16515072,4644864,0.0887,0.07500799745321274,0.014588001918792726
16,1,shared_expert,layer-89.shared_expert_stripe.worker-13,13,16515072,4644864,0.0861,0.07327999919652939,0.013780000662803646
16,1,shared_expert,layer-89.shared_expert_stripe.worker-14,14,16515072,4644864,0.0898,0.07571200281381607,0.01430400236845017
16,1,shared_expert,layer-89.shared_expert_stripe.worker-15,15,16515072,4644864,0.0886,0.07440000027418137,0.014199999725818632
16,2,shared_expert,layer-89.shared_expert_stripe.worker-00,0,16515072,4644864,0.1075,0.09491200000047684,0.013188002061843868
16,2,shared_expert,layer-89.shared_expert_stripe.worker-01,1,16515072,4644864,0.1326,0.11555200070142746,0.014963973045349133
16,2,shared_expert,layer-89.shared_expert_stripe.worker-02,2,16515072,4644864,0.1127,0.09929600358009338,0.013084001529216766
16,2,shared_expert,layer-89.shared_expert_stripe.worker-03,3,16515072,4644864,0.1067,0.09302400052547455,0.01329199655056
16,2,shared_expert,layer-89.shared_expert_stripe.worker-04,4,16515072,4644864,0.1077,0.09408000111579895,0.013619998884201054
16,2,shared_expert,layer-89.shared_expert_stripe.worker-05,5,16515072,4644864,0.1084,0.09478399902582169,0.01361600097417831
16,2,shared_expert,layer-89.shared_expert_stripe.worker-06,6,16515072,4644864,0.1067,0.09391999989748001,0.01304400194883347
16,2,shared_expert,layer-89.shared_expert_stripe.worker-07,7,16515072,4644864,0.11,0.09683199971914291,0.013168000280857087
16,2,shared_expert,layer-89.shared_expert_stripe.worker-08,8,16515072,4644864,0.106,0.09302400052547455,0.013456003129482266
16,2,shared_expert,layer-89.shared_expert_stripe.worker-09,9,16515072,4644864,0.1082,0.09388799965381622,0.013339998602867123
16,2,shared_expert,layer-89.shared_expert_stripe.worker-10,10,16515072,4644864,0.1082,0.09465599805116653,0.013920001602172855
16,2,shared_expert,layer-89.shared_expert_stripe.worker-11,11,16515072,4644864,0.11,0.09612800180912018,0.013871998190879822
16,2,shared_expert,layer-89.shared_expert_stripe.worker-12,12,16515072,4644864,0.1083,0.0947519987821579,0.013387999999523156
16,2,shared_expert,layer-89.shared_expert_stripe.worker-13,13,16515072,4644864,0.1087,0.09433600306510925,0.013875998818874358
16,2,shared_expert,layer-89.shared_expert_stripe.worker-14,14,16515072,4644864,0.1091,0.09625600278377533,0.012843997216224673
16,2,shared_expert,layer-89.shared_expert_stripe.worker-15,15,16515072,4644864,0.1107,0.09724800288677216,0.013451997113227851
16,4,shared_expert,layer-89.shared_expert_stripe.worker-00,0,16515072,4644864,0.1439,0.12908799946308136,0.015011997818946826
16,4,shared_expert,layer-89.shared_expert_stripe.worker-01,1,16515072,4644864,0.1419,0.12595200538635254,0.015595996665954598
16,4,shared_expert,layer-89.shared_expert_stripe.worker-02,2,16515072,4644864,0.1426,0.1276160031557083,0.015408000564575197
16,4,shared_expert,layer-89.shared_expert_stripe.worker-03,3,16515072,4644864,0.1421,0.12691199779510498,0.015311996459960925
16,4,shared_expert,layer-89.shared_expert_stripe.worker-04,4,16515072,4644864,0.1454,0.13036799430847168,0.015032005691528322
16,4,shared_expert,layer-89.shared_expert_stripe.worker-05,5,16515072,4644864,0.1452,0.12956799566745758,0.015184000921249385
