source,gpu_utilization_percent,memory_controller_utilization_percent,power_w,temperature_c,timestamp,vram_used_mib
attention-raw.json,0.0,0.0,33.41,44.0,2026/08/13 16:48:18.285,1715.0
attention-raw.json,6.0,1.0,34.52,45.0,2026/08/13 16:48:19.078,2210.0
attention-raw.json,0.0,0.0,49.35,45.0,2026/08/13 16:48:19.649,2210.0
attention-raw.json,0.0,0.0,66.29,45.0,2026/08/13 16:48:20.237,2218.0
attention-raw.json,0.0,0.0,66.2,45.0,2026/08/13 16:48:20.811,2218.0
attention-raw.json,0.0,0.0,65.99,45.0,2026/08/13 16:48:21.379,2218.0
attention-raw.json,0.0,0.0,65.99,46.0,2026/08/13 16:48:21.936,2354.0
attention-raw.json,13.0,1.0,70.92,46.0,2026/08/13 16:48:22.474,2520.0
attention-raw.json,10.0,1.0,77.2,46.0,2026/08/13 16:48:23.014,2446.0
attention-raw.json,10.0,1.0,80.55,46.0,2026/08/13 16:48:23.567,2330.0
attention-raw.json,10.0,1.0,82.47,46.0,2026/08/13 16:48:24.108,2540.0
attention-raw.json,9.0,1.0,83.12,47.0,2026/08/13 16:48:24.648,2320.0
attention-raw.json,12.0,1.0,83.6,46.0,2026/08/13 16:48:25.199,2454.0
attention-raw.json,11.0,2.0,73.86,46.0,2026/08/13 16:48:25.750,2346.0
attention-raw.json,19.0,2.0,64.32,46.0,2026/08/13 16:48:26.303,2212.0
attention-raw.json,14.0,2.0,63.38,46.0,2026/08/13 16:48:26.856,2424.0
attention-raw.json,12.0,1.0,63.52,46.0,2026/08/13 16:48:27.424,2336.0
attention-raw.json,15.0,2.0,66.67,46.0,2026/08/13 16:48:27.976,2540.0
attention-raw.json,13.0,1.0,68.02,46.0,2026/08/13 16:48:28.528,2324.0
attention-raw.json,13.0,1.0,69.42,47.0,2026/08/13 16:48:29.081,2454.0
attention-raw.json,12.0,2.0,71.05,47.0,2026/08/13 16:48:29.631,2290.0
attention-raw.json,22.0,2.0,71.18,50.0,2026/08/13 16:48:30.182,2496.0
attention-raw.json,8.0,2.0,69.21,46.0,2026/08/13 16:48:30.735,2388.0
attention-raw.json,24.0,2.0,79.61,47.0,2026/08/13 16:48:31.288,2302.0
attention-raw.json,19.0,1.0,77.27,47.0,2026/08/13 16:48:31.841,2488.0
attention-raw.json,13.0,1.0,81.38,47.0,2026/08/13 16:48:32.393,2274.0
attention-raw.json,19.0,1.0,82.57,48.0,2026/08/13 16:48:32.941,2404.0
attention-raw.json,19.0,1.0,82.39,47.0,2026/08/13 16:48:33.492,2530.0
attention-raw.json,5.0,1.0,80.32,46.0,2026/08/13 16:48:34.032,2318.0
attention-raw.json,15.0,2.0,61.61,46.0,2026/08/13 16:48:34.585,2242.0
attention-raw.json,6.0,1.0,47.1,46.0,2026/08/13 16:48:35.139,2230.0
attention-raw.json,5.0,1.0,51.63,46.0,2026/08/13 16:48:35.678,2314.0
attention-raw.json,5.0,1.0,48.92,46.0,2026/08/13 16:48:36.228,2230.0
attention-raw.json,4.0,1.0,54.29,46.0,2026/08/13 16:48:36.782,2274.0
attention-raw.json,13.0,2.0,47.65,47.0,2026/08/13 16:48:37.334,2478.0
attention-raw.json,4.0,1.0,64.07,46.0,2026/08/13 16:48:37.885,2274.0
attention-raw.json,20.0,2.0,66.82,47.0,2026/08/13 16:48:38.439,2230.0
attention-raw.json,6.0,1.0,52.58,46.0,2026/08/13 16:48:38.991,2452.0
attention-raw.json,3.0,1.0,57.17,46.0,2026/08/13 16:48:39.531,2284.0
attention-raw.json,6.0,1.0,53.44,46.0,2026/08/13 16:48:40.085,2230.0
attention-raw.json,4.0,1.0,58.54,46.0,2026/08/13 16:48:40.626,2242.0
attention-raw.json,3.0,1.0,58.25,46.0,2026/08/13 16:48:41.178,2400.0
attention-raw.json,22.0,2.0,50.9,48.0,2026/08/13 16:48:41.728,2230.0
attention-raw.json,19.0,1.0,81.35,47.0,2026/08/13 16:48:42.266,2230.0
attention-raw.json,6.0,1.0,65.28,47.0,2026/08/13 16:48:42.820,2398.0
attention-raw.json,3.0,1.0,69.69,47.0,2026/08/13 16:48:43.370,2248.0
attention-raw.json,17.0,2.0,63.63,48.0,2026/08/13 16:48:43.922,2450.0
attention-raw.json,2.0,0.0,68.04,47.0,2026/08/13 16:48:44.476,2230.0
attention-raw.json,4.0,1.0,71.77,47.0,2026/08/13 16:48:45.016,2376.0
attention-raw.json,40.0,2.0,63.53,48.0,2026/08/13 16:48:45.659,2212.0
attention-raw.json,0.0,0.0,96.57,48.0,2026/08/13 16:48:46.464,2212.0
attention-raw.json,0.0,0.0,87.1,48.0,2026/08/13 16:48:47.113,2212.0
attention-raw.json,0.0,0.0,86.92,48.0,2026/08/13 16:48:47.665,2212.0
attention-raw.json,0.0,1.0,42.01,46.0,2026/08/13 16:48:48.412,2212.0
attention-raw.json,0.0,1.0,35.64,46.0,2026/08/13 16:48:48.999,2274.0
attention-raw.json,10.0,2.0,39.97,47.0,2026/08/13 16:48:49.549,2496.0
attention-raw.json,13.0,2.0,49.51,47.0,2026/08/13 16:48:50.100,2446.0
attention-raw.json,12.0,2.0,56.16,47.0,2026/08/13 16:48:50.652,2330.0
attention-raw.json,13.0,2.0,59.92,47.0,2026/08/13 16:48:51.202,2562.0
attention-raw.json,10.0,2.0,60.74,48.0,2026/08/13 16:48:51.750,2326.0
attention-raw.json,10.0,1.0,64.07,47.0,2026/08/13 16:48:52.302,2474.0
attention-raw.json,11.0,2.0,63.93,47.0,2026/08/13 16:48:52.853,2388.0
attention-raw.json,16.0,2.0,62.76,47.0,2026/08/13 16:48:53.392,2274.0
attention-raw.json,14.0,2.0,63.54,47.0,2026/08/13 16:48:53.944,2482.0
attention-raw.json,17.0,2.0,65.45,48.0,2026/08/13 16:48:54.497,2372.0
attention-raw.json,17.0,2.0,67.47,47.0,2026/08/13 16:48:55.047,2582.0
attention-raw.json,13.0,2.0,69.82,48.0,2026/08/13 16:48:55.599,2360.0
attention-raw.json,16.0,1.0,71.6,48.0,2026/08/13 16:48:56.150,2494.0
attention-raw.json,12.0,1.0,73.05,48.0,2026/08/13 16:48:56.701,2348.0
attention-raw.json,11.0,2.0,71.08,52.0,2026/08/13 16:48:57.239,2288.0
attention-raw.json,19.0,2.0,80.83,49.0,2026/08/13 16:48:57.794,2460.0
attention-raw.json,22.0,2.0,80.89,48.0,2026/08/13 16:48:58.347,2376.0
attention-raw.json,22.0,2.0,81.79,48.0,2026/08/13 16:48:58.898,2578.0
attention-raw.json,20.0,2.0,83.06,50.0,2026/08/13 16:48:59.447,2330.0
