stripe_degree,rows,operator,worker_index,wall_ms_p50,source,physical_device
8,1,degree,shared,8,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,rows,shared,1,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_common_ms,shared,0.09,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,0,0.2824,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,1,0.2823,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,2,0.2827,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,3,0.2834,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,4,0.2832,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,5,0.2861,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,6,0.2824,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,kda_worker_ms,7,0.2811,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_common_ms,shared,0.11549999999999999,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,0,0.2124,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,1,0.2017,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,2,0.1948,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,3,0.2086,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,4,0.1974,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,5,0.2172,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,6,0.2003,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,mla_worker_ms,7,0.195,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,moe_pre_ms,shared,0.4799,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,0,0.0468,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,1,0.0461,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,2,0.0436,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,3,0.0409,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,4,0.0449,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,5,0.0386,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,6,0.041,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,latent_down_worker_ms,7,0.0391,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,0,0.1605,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,1,0.1625,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,2,0.1628,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,3,0.1803,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,4,0.1607,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
8,1,expert_worker_ms,5,0.1605,RTX 5090 post-fusion physical worker services: refreshed attention/projection/shared/endpoint/reduction plus exact grouped top-16 experts,RTX 5090 SM120
