sample_unix_ns,gpu_timestamp,gpu_name,utilization_percent,memory_used_mib,memory_total_mib,power_watts,temperature_c
1786622694616791600,2026/08/13 22:04:54.543,NVIDIA GeForce RTX 5090,0,1808,32607,25.79,54
1786622699663399800,2026/08/13 22:04:59.656,NVIDIA GeForce RTX 5090,0,1842,32607,69.84,56
1786622704712724700,2026/08/13 22:05:04.706,NVIDIA GeForce RTX 5090,15,2000,32607,28.53,55
1786622709766136700,2026/08/13 22:05:09.757,NVIDIA GeForce RTX 5090,7,2102,32607,28.08,54
1786622714819128800,2026/08/13 22:05:14.812,NVIDIA GeForce RTX 5090,15,1880,32607,26.40,54
1786622719869327000,2026/08/13 22:05:19.862,NVIDIA GeForce RTX 5090,0,1986,32607,25.55,54
1786622724922809200,2026/08/13 22:05:24.915,NVIDIA GeForce RTX 5090,5,1819,32607,29.04,55
1786622729961400700,2026/08/13 22:05:29.954,NVIDIA GeForce RTX 5090,3,1826,32607,30.20,55
1786622735005308400,2026/08/13 22:05:34.998,NVIDIA GeForce RTX 5090,9,1850,32607,29.04,55
1786622740055034300,2026/08/13 22:05:40.047,NVIDIA GeForce RTX 5090,15,1958,32607,27.76,55
1786622745096457000,2026/08/13 22:05:45.089,NVIDIA GeForce RTX 5090,3,2072,32607,27.05,54
1786622750148328600,2026/08/13 22:05:50.140,NVIDIA GeForce RTX 5090,2,1828,32607,28.14,55
1786622755198920300,2026/08/13 22:05:55.191,NVIDIA GeForce RTX 5090,17,1812,32607,26.78,55
1786622760251292200,2026/08/13 22:06:00.243,NVIDIA GeForce RTX 5090,0,1828,32607,25.24,54
1786622765299675600,2026/08/13 22:06:05.292,NVIDIA GeForce RTX 5090,8,2000,32607,28.35,55
1786622770346592200,2026/08/13 22:06:10.339,NVIDIA GeForce RTX 5090,4,1822,32607,27.36,55
1786622775390170800,2026/08/13 22:06:15.383,NVIDIA GeForce RTX 5090,0,1812,32607,27.88,55
1786622780427861500,2026/08/13 22:06:20.421,NVIDIA GeForce RTX 5090,4,1866,32607,27.82,55
1786622785479194000,2026/08/13 22:06:25.472,NVIDIA GeForce RTX 5090,4,1996,32607,27.60,54
1786622790532771800,2026/08/13 22:06:30.525,NVIDIA GeForce RTX 5090,2,2110,32607,27.56,55
1786622795570425000,2026/08/13 22:06:35.563,NVIDIA GeForce RTX 5090,4,1816,32607,30.69,55
1786622800623089100,2026/08/13 22:06:40.615,NVIDIA GeForce RTX 5090,3,1814,32607,26.09,55
1786622805662506300,2026/08/13 22:06:45.655,NVIDIA GeForce RTX 5090,0,1882,32607,25.54,55
1786622810710599000,2026/08/13 22:06:50.703,NVIDIA GeForce RTX 5090,0,1991,32607,26.20,55
1786622815750696900,2026/08/13 22:06:55.744,NVIDIA GeForce RTX 5090,1,1821,32607,29.13,55
1786622820803936200,2026/08/13 22:07:00.796,NVIDIA GeForce RTX 5090,1,1843,32607,30.80,55
1786622825849134800,2026/08/13 22:07:05.842,NVIDIA GeForce RTX 5090,6,1837,32607,27.10,55
1786622830900266800,2026/08/13 22:07:10.893,NVIDIA GeForce RTX 5090,1,1957,32607,27.84,55
1786622835947225600,2026/08/13 22:07:15.940,NVIDIA GeForce RTX 5090,1,2071,32607,26.82,55
1786622840995905900,2026/08/13 22:07:20.988,NVIDIA GeForce RTX 5090,3,1831,32607,29.19,55
1786622846041905600,2026/08/13 22:07:26.034,NVIDIA GeForce RTX 5090,0,1838,32607,26.89,55
1786622851088121000,2026/08/13 22:07:31.081,NVIDIA GeForce RTX 5090,0,1833,32607,25.34,55
1786622856141451900,2026/08/13 22:07:36.134,NVIDIA GeForce RTX 5090,12,2049,32607,28.61,55
1786622861189898700,2026/08/13 22:07:41.182,NVIDIA GeForce RTX 5090,2,1849,32607,31.14,55
1786622866230087400,2026/08/13 22:07:46.222,NVIDIA GeForce RTX 5090,3,1817,32607,25.56,55
1786622871270782100,2026/08/13 22:07:51.263,NVIDIA GeForce RTX 5090,3,1885,32607,25.78,55
1786622876319897700,2026/08/13 22:07:56.313,NVIDIA GeForce RTX 5090,0,1991,32607,25.33,55
1786622881372316500,2026/08/13 22:08:01.365,NVIDIA GeForce RTX 5090,1,1831,32607,27.60,55
1786622886419485600,2026/08/13 22:08:06.412,NVIDIA GeForce RTX 5090,3,1837,32607,30.18,55
1786622891345243200,2026/08/13 22:08:11.337,NVIDIA GeForce RTX 5090,6,1817,32607,28.55,55
