layer,worker_id,operator,duration_ms,runtime_weight_bytes,evidence_class
1,kda.layer-1.p8.worker-00,KDA_attention_stripe,0.5447,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-01,KDA_attention_stripe,0.5408,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-02,KDA_attention_stripe,0.54,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-03,KDA_attention_stripe,0.5468,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-04,KDA_attention_stripe,0.5424,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-05,KDA_attention_stripe,0.6485,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-06,KDA_attention_stripe,0.5523,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-07,KDA_attention_stripe,0.5456,32102448,PHYSICAL_SHARD_EXECUTION
1,layer-01.attnres-worker,attention_attnres_mix,0.32,0,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-00,KDA_attention_stripe,0.5447,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-01,KDA_attention_stripe,0.5408,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-02,KDA_attention_stripe,0.54,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-03,KDA_attention_stripe,0.5468,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-04,KDA_attention_stripe,0.5424,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-05,KDA_attention_stripe,0.6485,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-06,KDA_attention_stripe,0.5523,32102448,PHYSICAL_SHARD_EXECUTION
1,kda.layer-1.p8.worker-07,KDA_attention_stripe,0.5456,32102448,PHYSICAL_SHARD_EXECUTION
1,layer-01.attnres-worker,mlp_attnres_mix,0.2053,0,PHYSICAL_SHARD_EXECUTION
1,layer-01.router-worker,router,14.2561,0,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-00,latent_down_projection_stripe,0.0559,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-01,latent_down_projection_stripe,0.0616,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-02,latent_down_projection_stripe,0.0964,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-03,latent_down_projection_stripe,0.0659,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-04,latent_down_projection_stripe,0.0599,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-05,latent_down_projection_stripe,0.0628,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-06,latent_down_projection_stripe,0.0606,1806336,PHYSICAL_SHARD_EXECUTION
1,latent-down.layer-1.worker-07,latent_down_projection_stripe,0.0617,1806336,PHYSICAL_SHARD_EXECUTION
1,layer-01.expert-bank.worker-00,grouped_expert_stripe_bank_top16,1.8062,35094528,PHYSICAL_SHARD_EXECUTION
1,layer-01.expert-bank.worker-01,grouped_expert_stripe_bank_top16,0.571,35094528,PHYSICAL_SHARD_EXECUTION
1,layer-01.expert-bank.worker-02,grouped_expert_stripe_bank_top16,0.5066,35094528,PHYSICAL_SHARD_EXECUTION
1,layer-01.expert-bank.worker-03,grouped_expert_stripe_bank_top16,0.4815,35094528,PHYSICAL_SHARD_EXECUTION
1,layer-01.expert-bank.worker-04,grouped_expert_stripe_bank_top16,0.531,35094528,PHYSICAL_SHARD_EXECUTION
