inventory_id,family,planner,feasible,resident_memory_bytes,stranded_memory_bytes,memory_utilization_percent
coarse-friendly-01,coarse-friendly,whole,True,1689510267298,548587124318,75.48868398788056
coarse-friendly-01,coarse-friendly,adaptive,True,1689510267298,548587124318,75.48868398788056
coarse-friendly-02,coarse-friendly,whole,True,1689510267298,548587124318,75.48868398788056
coarse-friendly-02,coarse-friendly,adaptive,True,1689510267298,548587124318,75.48868398788056
coarse-friendly-03,coarse-friendly,whole,True,1689510267298,548587124318,75.48868398788056
coarse-friendly-03,coarse-friendly,adaptive,True,1689510267298,548587124318,75.48868398788056
memory-fragmented-01,memory-fragmented,whole,True,1689510267298,923809560158,64.64996169040262
memory-fragmented-01,memory-fragmented,adaptive,True,1689510267298,923809560158,64.64996169040262
memory-fragmented-02,memory-fragmented,whole,False,0,1932030640128,0.0
memory-fragmented-02,memory-fragmented,adaptive,True,1695147411874,236883228254,87.73915778901383
memory-fragmented-03,memory-fragmented,whole,True,1689510267298,965500941918,63.63476965496114
memory-fragmented-03,memory-fragmented,adaptive,True,1689510267298,965500941918,63.63476965496114
memory-fragmented-04,memory-fragmented,whole,False,0,1973722021888,0.0
memory-fragmented-04,memory-fragmented,adaptive,True,1694610540962,279111480926,85.85862255014966
memory-fragmented-05,memory-fragmented,whole,True,1689510267298,1007192323678,62.650967628081176
memory-fragmented-05,memory-fragmented,adaptive,True,1689510267298,1007192323678,62.650967628081176
memory-fragmented-06,memory-fragmented,whole,False,0,2015413403648,0.0
memory-fragmented-06,memory-fragmented,adaptive,True,1694543432098,320869971550,84.0791982940468
compute-heterogeneous-01,compute-heterogeneous,whole,True,1689510267298,840426796638,66.78072318010594
compute-heterogeneous-01,compute-heterogeneous,adaptive,True,1689510267298,840426796638,66.78072318010594
compute-heterogeneous-02,compute-heterogeneous,whole,True,1689510267298,850849642078,66.50672847821009
compute-heterogeneous-02,compute-heterogeneous,adaptive,True,1689510267298,850849642078,66.50672847821009
compute-heterogeneous-03,compute-heterogeneous,whole,True,1689510267298,861272487518,66.23497293558708
compute-heterogeneous-03,compute-heterogeneous,adaptive,True,1689510267298,861272487518,66.23497293558708
compute-heterogeneous-04,compute-heterogeneous,whole,True,1689510267298,871695332958,65.96542921541045
compute-heterogeneous-04,compute-heterogeneous,adaptive,True,1689510267298,871695332958,65.96542921541045
compute-heterogeneous-05,compute-heterogeneous,whole,True,1689510267298,882118178398,65.69807042403987
compute-heterogeneous-05,compute-heterogeneous,adaptive,True,1689510267298,882118178398,65.69807042403987
compute-heterogeneous-06,compute-heterogeneous,whole,True,1689510267298,892541023838,65.4328701020762
compute-heterogeneous-06,compute-heterogeneous,adaptive,True,1689510267298,892541023838,65.4328701020762
network-heterogeneous-01,network-heterogeneous,whole,True,1689510267298,757044033118,69.05672467644492
network-heterogeneous-01,network-heterogeneous,adaptive,True,1689510267298,757044033118,69.05672467644492
network-heterogeneous-02,network-heterogeneous,whole,True,1689510267298,767466878558,68.76377625846341
network-heterogeneous-02,network-heterogeneous,adaptive,True,1689510267298,767466878558,68.76377625846341
network-heterogeneous-03,network-heterogeneous,whole,True,1689510267298,777889723998,68.47330279881318
network-heterogeneous-03,network-heterogeneous,adaptive,True,1689510267298,777889723998,68.47330279881318
network-heterogeneous-04,network-heterogeneous,whole,True,1689510267298,788312569438,68.18527306510612
network-heterogeneous-04,network-heterogeneous,adaptive,True,1689510267298,788312569438,68.18527306510612
network-heterogeneous-05,network-heterogeneous,whole,True,1689510267298,798735414878,67.89965634826315
network-heterogeneous-05,network-heterogeneous,adaptive,True,1689510267298,798735414878,67.89965634826315
network-heterogeneous-06,network-heterogeneous,whole,True,1689510267298,809158260318,67.61642245159968
network-heterogeneous-06,network-heterogeneous,adaptive,True,1689510267298,809158260318,67.61642245159968
full-mixed-01,full-mixed,whole,True,1689510267298,981791618654,63.24669915380573
full-mixed-01,full-mixed,adaptive,True,1689510267298,981791618654,63.24669915380573
full-mixed-02,full-mixed,whole,True,1689510267298,981791618654,63.24669915380573
full-mixed-02,full-mixed,adaptive,True,1689510267298,981791618654,63.24669915380573
full-mixed-03,full-mixed,whole,True,1689510267298,981791618654,63.24669915380573
full-mixed-03,full-mixed,adaptive,True,1689510267298,981791618654,63.24669915380573
full-mixed-04,full-mixed,whole,False,0,2616459264000,0.0
full-mixed-04,full-mixed,adaptive,True,1691255097762,925204166238,64.6390762138768
full-mixed-05,full-mixed,whole,False,0,2616459264000,0.0
full-mixed-05,full-mixed,adaptive,True,1691322206626,925137057374,64.641641087136
full-mixed-06,full-mixed,whole,False,0,2616459264000,0.0
full-mixed-06,full-mixed,adaptive,True,1691255097762,925204166238,64.6390762138768
