inventory_id,family,exact_tok_s_per_user,whole_layer_percent,whole_expert_percent,expert_shard_percent,attention_projection_shard_percent,full_mixed_percent,critical_path_whole_layer_percent,critical_path_whole_expert_percent,critical_path_expert_shard_percent,critical_path_attention_projection_percent,critical_path_full_mixed_percent
coarse-friendly-01,coarse-friendly,4.217163327020019,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
coarse-friendly-02,coarse-friendly,4.631481914134324,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
coarse-friendly-03,coarse-friendly,4.305968799015308,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
memory-fragmented-01,memory-fragmented,4.2425391272085555,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
memory-fragmented-02,memory-fragmented,0.6726636742837973,52.68817204301075,0.0,47.31182795698925,0.0,0.0,22.082426198645436,0.0,77.9175738013563,0.0,0.0
memory-fragmented-03,memory-fragmented,4.495080171102037,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
memory-fragmented-04,memory-fragmented,0.6670068394810151,52.68817204301075,0.0,47.31182795698925,0.0,0.0,22.572507682138617,0.0,77.42749231786297,0.0,0.0
memory-fragmented-05,memory-fragmented,4.259657120974623,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
memory-fragmented-06,memory-fragmented,0.6814887799908036,52.68817204301075,0.0,47.31182795698925,0.0,0.0,16.601159650912017,0.0,83.39884034908991,0.0,0.0
compute-heterogeneous-01,compute-heterogeneous,3.27804528891314,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
compute-heterogeneous-02,compute-heterogeneous,3.4051654832460296,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
compute-heterogeneous-03,compute-heterogeneous,3.3509617170858403,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
compute-heterogeneous-04,compute-heterogeneous,3.3158077583849783,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
compute-heterogeneous-05,compute-heterogeneous,3.4553654202653967,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
compute-heterogeneous-06,compute-heterogeneous,3.540579639651396,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-01,network-heterogeneous,3.809528169485032,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-02,network-heterogeneous,3.407368300121211,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-03,network-heterogeneous,3.9781361414701824,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-04,network-heterogeneous,4.116388725249847,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-05,network-heterogeneous,4.008405216844649,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
network-heterogeneous-06,network-heterogeneous,4.333422460748264,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
full-mixed-01,full-mixed,3.3493161786907644,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
full-mixed-02,full-mixed,3.511679478791414,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
full-mixed-03,full-mixed,3.431859601201452,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
full-mixed-04,full-mixed,0.9528563987749096,86.02150537634408,0.0,13.978494623655912,0.0,0.0,61.1779951832722,0.0,38.82200481672825,0.0,0.0
full-mixed-05,full-mixed,1.016429304381928,86.02150537634408,0.0,13.978494623655912,0.0,0.0,67.62707589436646,0.0,32.372924105633935,0.0,0.0
full-mixed-06,full-mixed,0.9847470270540764,86.02150537634408,0.0,13.978494623655912,0.0,0.0,68.0152325872957,0.0,31.984767412704258,0.0,0.0
