inventory_id,family,whole_tok_s,adaptive_tok_s,throughput_uplift,throughput_uplift_percent,critical_path_reduction_percent,additional_nodes_made_useful,memory_utilization_delta_percent,stranded_memory_delta_bytes,network_delta_bytes_per_token,worker_compute_delta_ms,worker_seconds_delta_per_token,adaptive_uses_sublayer,dominance_pass
coarse-friendly-01,coarse-friendly,4.217163327020019,4.217163327020019,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
coarse-friendly-02,coarse-friendly,4.631481914134324,4.631481914134324,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
coarse-friendly-03,coarse-friendly,4.305968799015308,4.305968799015308,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-01,memory-fragmented,4.2425391272085555,4.2425391272085555,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-03,memory-fragmented,4.495080171102037,4.495080171102037,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-05,memory-fragmented,4.259657120974623,4.259657120974623,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-01,compute-heterogeneous,3.27804528891314,3.27804528891314,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-02,compute-heterogeneous,3.4051654832460296,3.4051654832460296,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-03,compute-heterogeneous,3.3509617170858403,3.3509617170858403,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-04,compute-heterogeneous,3.3158077583849783,3.3158077583849783,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-05,compute-heterogeneous,3.4553654202653967,3.4553654202653967,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-06,compute-heterogeneous,3.540579639651396,3.540579639651396,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-01,network-heterogeneous,3.809528169485032,3.809528169485032,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-02,network-heterogeneous,3.407368300121211,3.407368300121211,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-03,network-heterogeneous,3.9781361414701824,3.9781361414701824,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-04,network-heterogeneous,4.116388725249847,4.116388725249847,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-05,network-heterogeneous,4.008405216844649,4.008405216844649,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-06,network-heterogeneous,4.333422460748264,4.333422460748264,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-01,full-mixed,3.3493161786907644,3.3493161786907644,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-02,full-mixed,3.511679478791414,3.511679478791414,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-03,full-mixed,3.431859601201452,3.431859601201452,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
