inventory_id,family,scenario,planner_level,feasible,infeasible_reason,exact_tok_s_per_user,critical_path_ms,total_worker_compute_ms,network_bytes_per_target_pass,network_bytes_per_token,messages_per_target_pass,serial_waits_per_target_pass,worker_seconds_per_token,workers_used,useful_nodes,available_nodes,available_accelerator_memory_bytes,resident_memory_bytes,stranded_memory_bytes,memory_utilization_percent,projected_abstract_node_cost,chunk_rows,whole_layer_count,whole_expert_count,expert_shard_count,attention_projection_shard_count,full_mixed_count,whole_layer_percent,whole_expert_percent,expert_shard_percent,attention_projection_shard_percent,full_mixed_percent,critical_path_whole_layer_percent,critical_path_whole_expert_percent,critical_path_expert_shard_percent,critical_path_attention_projection_percent,critical_path_full_mixed_percent,optimizer_elapsed_ms,optimizer_proposals,optimizer_exact_evaluations,fallback_retained,objective_primary
coarse-friendly-01,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,4.217163327020019,4031.1457446000163,4268.685625000006,55148544,3244032.0,471,942,0.25109915441176506,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,46.93480000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3294.293,24,6,True,maximize exact K3 target-only tok/s/user
coarse-friendly-02,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,4.631481914134324,3670.531444400014,4215.000112500008,55148544,3244032.0,471,942,0.2479411830882358,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,47.71009999999999,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3280.8923,24,6,True,maximize exact K3 target-only tok/s/user
coarse-friendly-03,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,4.305968799015308,3948.0081704000204,4162.92840000001,55635968,3272704.0,476,947,0.24487814117647116,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,48.66230000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3331.953,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-01,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,4.2425391272085555,4007.0343467133594,4725.5074250000025,55635968,3272704.0,476,947,0.27797102500000015,49,49,84,2613319827456,1689510267298,923809560158,64.64996169040262,48.6974,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5136.8395,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-02,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,0.6726636742837973,25272.65950268587,28138.5940691656,116346368,6843904.0,5820,16247,1.6552114158332705,102,102,102,1932030640128,1695147411874,236883228254,87.73915778901383,66.22859999999999,1,49,0,44,0,0,52.68817204301075,0.0,47.31182795698925,0.0,0.0,22.082426198645436,0.0,77.9175738013563,0.0,0.0,5783.5908,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-03,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,4.495080171102037,3781.9125250066877,4672.68780416667,55635968,3272704.0,476,947,0.27486398848039234,49,49,88,2655011209216,1689510267298,965500941918,63.63476965496114,49.36099999999998,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5415.7457,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-04,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,0.6670068394810151,25486.995025759203,28937.487564165982,108512768,6383104.0,5276,15431,1.702205150833293,106,106,106,1973722021888,1694610540962,279111480926,85.85862255014966,69.2963,1,49,0,44,0,0,52.68817204301075,0.0,47.31182795698925,0.0,0.0,22.572507682138617,0.0,77.42749231786297,0.0,0.0,5884.608,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-05,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,4.259657120974623,3990.9315508733594,4783.856800000007,55635968,3272704.0,476,947,0.281403341176471,49,49,92,2696702590976,1689510267298,1007192323678,62.650967628081176,48.2177,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5511.9555,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-06,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,0.6814887799908036,24945.38501459908,27927.699605832313,107533568,6325504.0,5208,15329,1.6428058591666066,110,110,110,2015413403648,1694543432098,320869971550,84.0791982940468,72.39880000000001,1,49,0,44,0,0,52.68817204301075,0.0,47.31182795698925,0.0,0.0,16.601159650912017,0.0,83.39884034908991,0.0,0.0,6017.1125,24,6,True,maximize exact K3 target-only tok/s/user
compute-heterogeneous-01,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.27804528891314,5186.017428586679,6578.452091666655,55148544,3244032.0,471,942,0.3869677700980385,52,52,76,2529937063936,1689510267298,840426796638,66.78072318010594,45.2938,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4783.5967,24,6,True,maximize exact K3 target-only tok/s/user
compute-heterogeneous-02,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.4051654832460296,4992.415224353347,6362.966445833326,55148544,3244032.0,471,942,0.3742921438725486,52,52,77,2540359909376,1689510267298,850849642078,66.50672847821009,45.1631,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4839.6019,24,6,True,maximize exact K3 target-only tok/s/user
compute-heterogeneous-03,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.3509617170858403,5073.170461280002,6445.876758333323,55635968,3272704.0,476,947,0.37916922107843076,52,52,78,2550782754816,1689510267298,861272487518,66.23497293558708,44.723499999999994,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4824.9758,24,6,True,maximize exact K3 target-only tok/s/user
compute-heterogeneous-04,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.3158077583849783,5126.955854726676,6542.906299999989,55635968,3272704.0,476,947,0.3848768411764699,52,52,79,2561205600256,1689510267298,871695332958,65.96542921541045,46.743199999999995,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4852.3236,24,6,True,maximize exact K3 target-only tok/s/user
compute-heterogeneous-05,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.4553654202653967,4919.884855100008,6387.447195833324,55148544,3244032.0,471,942,0.3757321879901956,52,52,80,2571628445696,1689510267298,882118178398,65.69807042403987,46.88820000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4979.1299,24,6,True,maximize exact K3 target-only tok/s/user
