timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:02:35.748, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.55 W
2026/09/10 10:02:35.951, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.55 W
2026/09/10 10:02:36.152, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.58 W
2026/09/10 10:02:36.352, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.58 W
2026/09/10 10:02:36.552, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.58 W
2026/09/10 10:02:36.753, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.58 W
2026/09/10 10:02:36.953, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.58 W
2026/09/10 10:02:37.153, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.51 W
2026/09/10 10:02:37.354, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.51 W
2026/09/10 10:02:37.554, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.51 W
2026/09/10 10:02:37.755, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.51 W
2026/09/10 10:02:37.956, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.51 W
2026/09/10 10:02:38.156, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.50 W
2026/09/10 10:02:38.357, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.50 W
2026/09/10 10:02:38.557, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.50 W
2026/09/10 10:02:38.757, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.50 W
2026/09/10 10:02:38.958, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.50 W
2026/09/10 10:02:39.158, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.69 W
2026/09/10 10:02:39.359, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.69 W
2026/09/10 10:02:39.559, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.69 W
2026/09/10 10:02:39.759, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.69 W
2026/09/10 10:02:39.960, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.69 W
2026/09/10 10:02:40.161, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.79 W
2026/09/10 10:02:40.361, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.79 W
2026/09/10 10:02:40.562, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.79 W
2026/09/10 10:02:40.762, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.79 W
2026/09/10 10:02:40.963, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.79 W
2026/09/10 10:02:41.164, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.81 W
2026/09/10 10:02:41.364, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.81 W
2026/09/10 10:02:41.565, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.81 W
2026/09/10 10:02:41.766, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.81 W
2026/09/10 10:02:41.966, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.81 W
2026/09/10 10:02:42.167, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.83 W
2026/09/10 10:02:42.368, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.83 W
2026/09/10 10:02:42.568, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.83 W
2026/09/10 10:02:42.769, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.83 W
2026/09/10 10:02:42.970, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.83 W
2026/09/10 10:02:43.170, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 97.89 W
