timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:11:35.410, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.47 W
2026/09/10 10:11:35.613, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.47 W
2026/09/10 10:11:35.813, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.47 W
2026/09/10 10:11:36.014, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.47 W
2026/09/10 10:11:36.214, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.47 W
2026/09/10 10:11:36.414, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.50 W
2026/09/10 10:11:36.614, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.50 W
2026/09/10 10:11:36.815, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.50 W
2026/09/10 10:11:37.015, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.50 W
2026/09/10 10:11:37.215, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.50 W
2026/09/10 10:11:37.415, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.57 W
2026/09/10 10:11:37.616, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.57 W
2026/09/10 10:11:37.816, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.57 W
2026/09/10 10:11:38.016, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.57 W
2026/09/10 10:11:38.216, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.57 W
2026/09/10 10:11:38.417, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.61 W
2026/09/10 10:11:38.617, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.61 W
2026/09/10 10:11:38.817, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.61 W
2026/09/10 10:11:39.017, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.61 W
2026/09/10 10:11:39.217, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.61 W
2026/09/10 10:11:39.417, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:39.618, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:39.818, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:40.018, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:40.218, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:40.418, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:40.619, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:40.819, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:41.019, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:41.219, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:41.419, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.51 W
2026/09/10 10:11:41.619, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.51 W
2026/09/10 10:11:41.820, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.51 W
2026/09/10 10:11:42.020, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.51 W
2026/09/10 10:11:42.220, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.51 W
2026/09/10 10:11:42.420, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.60 W
2026/09/10 10:11:42.620, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.60 W
2026/09/10 10:11:42.821, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.60 W
2026/09/10 10:11:43.021, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.60 W
2026/09/10 10:11:43.221, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.60 W
2026/09/10 10:11:43.421, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.64 W
2026/09/10 10:11:43.621, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.64 W
2026/09/10 10:11:43.821, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.64 W
2026/09/10 10:11:44.022, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.64 W
2026/09/10 10:11:44.222, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.64 W
2026/09/10 10:11:44.422, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:44.622, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:44.822, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.022, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.223, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.423, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
